Title,Date,Location,Text,URL,SourceFile,RightWingRelated,KeywordMatch,ExtractedDate,ExtractedTime,ExtractedAge,ExtractedGender,ExtractedAction,KeywordExtracted
Mann fremdenfeindlich beleidigt und bespuckt,02.04.2025,Mitte,"Nr. 0846
Heute wurde ein Mann im Hansaviertel beleidigt und bespuckt. Der 36-Jährige erschien auf einem Polizeiabschnitt und zeigte an, dass er gegen 9:45 Uhr in einer S-Bahn der Linie 7 in Fahrtrichtung Potsdam Hauptbahnhof unterwegs war. Dort geriet er mit einem unbekannt gebliebenen Mann in verbale Streitigkeiten, der ihn im weiteren Verlauf fremdenfeindlich beleidigte und den Hitlergruß in seine Richtung zeigte. Bevor er den Zug verließ, bespuckte der Mann den 36-Jährigen und flüchtete anschließend. Die Ermittlungen führt der Polizeiliche Staatsschutz des Landeskriminalamts.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1547779.php,berlin_police_results.csv,True,"['hitlergruß', 'fremdenfeindlich']",02.04.2025,['9:45'],"['36', '36']","['mann', 'mann', 'mann', 'mann']",[],"['hitlergruß', 'fremdenfeindlich']"
Mann fremdenfeindlich beleidigt und Hitlergruß gezeigt,02.04.2025,Mitte,"Nr. 0836
Wegen einer fremdenfeindlichen Beleidigung und Körperverletzung in Mitte ermittelt seit gestern Mittag der Polizeiliche Staatsschutz des Landeskriminalamtes. Den bisherigen Erkenntnissen und Zeugenaussagen zufolge stieg ein 28-jähriger Mann mit zwei Begleitern gegen 13:20 Uhr im Bahnhof Alexanderplatz aus einer U-Bahn der Linie 8, als auf dem Bahnsteig ein 26-Jähriger an den Mann herantrat und ihn fremdenfeindlich beleidigte. Anschließend soll er den 28-Jährigen kräftig geschubst haben, wodurch dieser Schmerzen erlitt. Polizeikräfte brachten den Tatverdächtigen zur Alex-Wache, in welcher der Mann den sogenannten Hitlergruß zeigte und sich deshalb auch wegen des Verwendens verfassungswidriger Kennzeichen verantworten muss. Ein freiwilliger Atemalkoholtest zeigte einen Wert von etwa 2,8 Promille. Die Einsatzkräfte brachten den Mann zur Feststellung seiner Identität und für eine Blutentnahme in ein Gewahrsam. Nach den polizeilichen Maßnahmen wurde er entlassen. Die
    Ermittlungen dauern an.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1547363.php,berlin_police_results.csv,True,"['hitlergruß', 'fremdenfeindlich']",02.04.2025,['13:20'],"['28', '26', '28']","['mann', 'mann', 'mann', 'mann', 'mann']","['beleidigung', 'körperverletzung']","['hitlergruß', 'fremdenfeindlich', 'fremdenfeindlichen']"
Fremdenfeindliche Beleidigung nach Streit zwischen zwei Fahrgästen in der Straßenbahn,01.04.2025,Mitte,"Nr. 0830
Gestern Abend ereignete sich eine fremdenfeindliche Beleidigung in Mitte. Gegen 18:15 Uhr wurde die Polizei in die Weinmeister Straße Ecke Alte Schönhauser Straße alarmiert. Nach bisherigen Erkenntnissen kam es in einer Straßenbahn der Linie M5, die vom U-Bahnhof Rosa-Luxemburg-Platz in Richtung U-Bahnhof Weinmeisterstraße unterwegs war, zu einem lautstark wahrnehmbaren Streitgespräch zwischen zwei Fahrgästen. Dabei soll ein 22-Jähriger von einem Unbekannten fremdenfeindlich beleidigt worden sein. Mit Erreichen der Haltestelle U-Bahnhof Weinmeisterstraße seien beide aus der Tram gestiegen. Als eine Zeugin an der Tram-Haltestelle die Polizei verständigte, soll sich der Täter in Richtung Torstraße entfernt haben. Der Polizeiliche Staatsschutz des Landeskriminalamts übernimmt die weiteren Ermittlungen.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1547119.php,berlin_police_results.csv,True,['fremdenfeindlich'],01.04.2025,['18:15'],['22'],[],['beleidigung'],"['fremdenfeindliche', 'fremdenfeindlich']"
Volksverhetzung vom Balkon aus,31.03.2025,Spandau,"0825
Gestern Abend soll ein Mann in Haselhorst seine Nachbarschaft antisemitisch beleidigt haben. In der Gartenfelder Straße soll der 39-Jährige gegen 18 Uhr seine 68-Jährige Nachbarin und seinen 42-jährigen Nachbarn über den Balkon hinweg mit judenfeindlichen Parolen beleidigt haben. Anschließend habe der mutmaßliche Täter versucht, die beiden Personen mit einem Stuhl zu schlagen. Er gibt an, von dem 42-Jährigen ebenfalls beleidigt worden zu sein. Ein Alkoholtest ergab bei dem Tatverdächtigen einen Wert von rund 2,23 Promille. Gegen ihn wurden Strafermittlungsverfahren wegen gefährlicher Körperverletzung und Volksverhetzung eingeleitet. Die weiteren Ermittlungen führt der Polizeiliche Staatsschutz des Landeskriminalamtes.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1546450.php,berlin_police_results.csv,True,['volksverhetzung'],31.03.2025,['18'],"['39', '68', '42', '42']",['mann'],"['schlagen', 'körperverletzung']",['volksverhetzung']
Mann angegriffen und homophob beleidigt,31.03.2025,Mitte,"Nr. 0821
In der vergangenen Nacht kam es zu einer Körperverletzung sowie zu einer Beleidigung mit homophobem Hintergrund im Hansaviertel. Nach ersten Erkenntnissen soll ein 40-Jähriger aus ungeklärter Ursache einen 32-Jährigen auf dem Bahnsteig des U-Bahnhofes Hansaplatz getreten, geschlagen haben und homophob beleidigt haben. Der 32-Jährige habe sich seinerseits mit Faustschlägen gegen den Angriff zur Wehr gesetzt. Der 40-Jährige verspürte Schmerzen im Gesicht, lehnte eine Behandlung jedoch ab. Der 32-Jährige lehnte ebenfalls eine ärztliche Behandlung ab. Eine freiwillige Atemalkoholmessung bei dem 40-Jährigen ergab einen Wert von rund 1,9 Promille. Eine Richterin ordnete eine Blutentnahme bei dem Tatverdächtigen an. Nach erfolgter erkennungsdienstlicher Behandlung wurde der 40-Jährige wieder auf freien Fuß gesetzt. Die Ermittlungen des Polizeilichen Staatsschutzes des Landeskriminalamtes wegen Beleidigung und Körperverletzung dauern an.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1546224.php,berlin_police_results.csv,True,['homophobie'],31.03.2025,[],"['40', '32', '32', '40', '32', '40', '40']",['mann'],"['angriff', 'schlagen', 'treten', 'beleidigung', 'körperverletzung']","['homophobem', 'homophob']"
Bilanz zu Versammlungen im Stadtgebiet,30.03.2025,berlinweit,"Nr. 0820
Die Polizei Berlin war gestern mit rund 1.000 Einsatzkräften zur Begleitung und zum Schutz der Versammlungslage in mehreren Stadtteilen im Einsatz.
Einen Schwerpunkt bildeten zum einem Versammlungen mit Bezug zum Nahostkonflikt. In diesem Themenkomplex gab es drei pro-israelische und drei pro-palästinensische Versammlungen.
Am Oranienplatz begann gegen 13:30 Uhr eine Versammlung mit dem Titel „Palestinan Land Day“, die in der Spitze etwa 400 Teilnehmende erreichte. Im Vorfeld der Versammlung soll ein Pressevertreter einen Teilnehmer als Tatverdächtigen einer Beleidigung vom 13. Februar 2025 wiedererkannt haben. Einsatzkräfte der Polizei identifizierten den Mann und fertigten eine Strafanzeige wegen des Verdachts der Beleidung. Gegen 14 Uhr zeigte eine Teilnehmerin einer Frau, die an der Kundgebung teilnahm, ein Plakat, von dessen Inhalt sich die Frau beleidigt fühlte. Polizeidienstkräfte beschränkten daraufhin die Tatverdächtige in ihrer Freiheit und mussten gegen nachströmende Teilnehmende unmittelbaren Zwang in Form von Schieben und Drücken anwenden, um die Maßnahme durchführen zu können. Gegen 15:35 Uhr wurde von einer Rednerin eine verbotene Parole über einen Lautsprecher skandiert. Als Polizeieinsatzkräfte an die Versammlungsleitung in der Nähe des Lautsprecherwagens
    herantraten, kam es erneut zu Zwangsmaßnahmen in Form von Schieben und Drücken gegen einzelne Teilnehmende. Trotzdem konnte die Tatverdächtige sich unerkannt entfernen. Die Sicherung von Beweismaterial für weitere Ermittlungen in diesem Fall gelang dennoch. Die Versammlungsleitung beendete die Kundgebung gegen 16:30 Uhr. Alle übrigen Versammlungslagen mit Bezug zum Nahostkonflikt verliefen störungsfrei. Insgesamt erfolgten in diesem Versammlungskontext zwei Festnahmen und vier Strafanzeigen wegen zweimaliger Beleidigung, Volksverhetzung und wegen des Verwendens von Kennzeichen verfassungswidriger und terroristischer Organisationen.
Einen zweiten Schwerpunkt der gestrigen Versammlungslage bildeten die Versammlung der rechtsextremen Szene in Hellersdorf sowie dagegen gerichtete Demonstrationen mehrerer Gruppen und Initiativen.
Bereits im Vorfeld kontrollierte die Polizei kurz nach 11 Uhr acht Personen am Bahnhof Lichtenberg, die zunächst wegen des Verdachts des Verwendens von Kennzeichen verfassungswidriger und terroristischer Organisationen festgenommen wurden. Hierzu wurde ein Strafermittlungsverfahren eingeleitet, wobei die Ermittlungen zur Zuordnung konkreter individueller Tatbeiträge der achtköpfigen Gruppe vor Ort nicht abgeschlossen werden konnten und alle Personen nach Feststellung ihrer Personalien wieder entlassen wurden.
Auf dem Weg zum Antreteplatz der rechtsgerichteten Versammlung entdeckten Polizeieinsatzkräfte am Alice-Salomon-Platz einen anderen Tatverdächtigen, der einen verbotenen Gruß entrichtete und nahmen ihn fest.
Die rechtsextrem ausgerichtete Versammlung begann gegen 14 Uhr am Alice-Salomon-Platz mit 250 Teilnehmenden. Auf dem Dach eines Wohnhauses in der Riesaer Straße brannten drei Personen gegen 14:40 Uhr pyrotechnische Erzeugnisse ab und zeigten den Vorbeilaufenden ein Transparent, das sich inhaltlich gegen deren Versammlungsthema richtete. Gegen 14:50 Uhr warf in der Riesaer Straße eine unbekannt gebliebene Person ein Ei auf die Teilnehmenden, ohne zu treffen. Rund 20 Personen, die dem linksgerichteten Spektrum zuzuordnen sind, wollten an den laufenden Aufzug gelangen, wurden aber von Begleitschutzkräften der Polizei unter Anwendung von Zwangsmaßnahmen in Form von Schieben und Drücken davon abgehalten werden. Diese Gruppe wuchs in der Folge auf etwa 50 Personen an und wurde im Bereich der Louis-Lewin-Straße angehalten, um weitere Einwirkungsversuche auf die laufende Versammlung zu unterbinden. In der Quedlinburger Straße wurde gegen 15:20 Uhr ein Pressevertreter im Aufzug
    erkannt und zu seinem Schutz von begleitenden Polizisten aus dem Aufzug herausgeführt.
Gegen 15:35 Uhr erreichte der Aufzug wieder den Alice-Salomon-Platz, wo ein Medienvertreter und ein Berichterstatter sich unter die Teilnehmenden begaben. Ordner der rechtsgerichteten Versammlung wirkten plötzlich auf beide körperlich ein. Die sofort einschreitenden Polizeibeamten trennten die Auseinandersetzung unter Anwendung von Zwangsmaßnahmen in Form von Schieben und Drücken und nahmen zwei Ordner fest.
Die Versammlung wurde gegen 16 Uhr beendet. Im Abstrom erkannten Polizisten einen Teilnehmer wieder, der während des Aufzuges gegen das Versammlungsfreiheitsgesetz verstoßen hatte. Er wurde kurzzeitig angehalten, um seine Personalien für ein folgendes Ordnungswidrigkeitenverfahren festzustellen.
Gegen 16:48 Uhr nahmen Polizeieinsatzkräfte eine männliche Person am U-Bahnhof Hellersdorf fest, nachdem dieser einen Pressevertreter geschubst hatte und dessen Mobiltelefon auf den Boden fiel. Im Rahmen dieser Maßnahme nahmen die Polizeibeamten eine weitere Person nach tätlichem Angriff auf und Widerstand gegen Vollstreckungsbeamte fest. Dabei mussten erneut Zwangsmaßnahmen in Form von Schieben und Drücken angewendet werden.
Kurz nach 17 Uhr entrichtete eine andere männliche Person einen verbotenen Gruß und wurde sofort festgenommen.
Auf dem U-Bahnhof Hellersdorf trennte die Polizei strikt die ehemaligen Teilnehmenden von vereinzelt festgestellten Gegendemonstranten. Dabei kam es zu einem Flaschenwurf ohne Treffer. Im weiteren Verlauf nahmen Einsatzkräfte einen Tatverdächtigen des Gegenprotests dazu fest.
Alle ehemaligen Teilnehmenden des rechtsextremen Aufzugs bestiegen gegen 17:25 Uhr die U-Bahn in Richtung Hönow. Da die Eingestiegenen nun die Begleitkräfte der Polizei hartnäckig daran hinderten, ebenfalls in die Waggons einzusteigen, musste wiederholt gezielter unmittelbarer Zwang in Form von Schieben, Faustschlägen und Tritten angewendet werden, um ebenfalls die eingefahrene U-Bahn besteigen zu können. Dabei wurde ein Polizeibeamter verletzt. Einen männlichen Tatverdächtigen nahmen die Beamten zudem nach Verwenden von Kennzeichen verfassungswidriger und terroristischer Organisationen fest. Aus der U-Bahn heraus zu einem weiteren Flaschenwurf, bei dem eine Einsatzkraft getroffen und verletzt wurde. In diesem Zusammenhang erfolgten unmittelbar koordinierte Festnahmen von zwei Personen.
Gegen 17:40 erreichte die U-Bahn Hönow, wo eine weibliche Person nach tätlichem Angriff auf Vollstreckungsbeamte festgenommen wurde. Gegen 19 Uhr hatten sich schließlich alle Personen unter Aufsicht der Polizeieinsatzkräfte am Ort nacheinander in kleinen Gruppen aus dem Bereich des Parkplatzes vor dem U-Bahnhof Hönow entfernt.
Am Regine-Hildebrand-Park Ecke Riesaer Straße nahmen Einsatzkräfte gegen 13:40 Uhr einen Teilnehmer einer anderen Versammlung fest, der einen Diensthundeführer der Polizei beleidigte. Kurz nach 14 Uhr wurde in der Schneeberger Straße eine nicht am Aufzug teilnehmende männliche Person festgenommen, die die Teilnehmerinnen und Teilnehmer des rechtsgerichteten Aufzugsgeschehens durch das Zeigen des ausgestreckten Mittelfingers beleidigte. Da dieser Tatverdächtige Widerstand gegen die festnehmenden Polizisten leistete, musste Zwang in Form von Festlegetechniken angewendet werden.
Gegen 14:25 Uhr nahmen Einsatzkräfte abgesetzt von der Versammlung in der Adorfer Straße Ecke Nossener Straße einen wiedererkannten Tatverdächtigen eines besonders schweren Falls des Landfriedensbruchs fest. Bei seiner Festnahme musste unmittelbarer Zwang in Form von Schieben gegen nachströmende Personen angewendet werden.
Als die Versammlung gegen 15:30 Uhr von der Leitung beendet wurde, schlossen sich Teilnehmerinnen und Teilnehmer einem anderen Gegenprotest an.
Die Teilnehmenden zweier weiterer Gegenkundgebungen am Alice-Salomon-Place schlossen sich gegen 14:30 Uhr zusammen und bildeten gemeinsam in der Spitze eine Teilnehmendenzahl von rund 200 Personen. Einsatzkräfte verhinderten gegen 14:40 Uhr den Versuch dieser Teilnehmenden auf die Wegstrecke des Aufzugs des rechtsgerichteten Spektrums zu gelangen. Gegen 17 Uhr wurde die Versammlung ohne weitere Vorkommnisse beendet.
Kurze Zeit später nahmen Polizisten einen Tatverdächtigen nach Beleidigung zum Nachteil eines dort arbeitenden Pressevertreters am Alice-Salomon-Platz fest. Gegen 17:05 Uhr wurden drei weibliche und ein männliche Tatverdächtiger festgenommen, nachdem sie alle einen verbotenen Gruß entrichtet hatten.
Gegen 17:45 Uhr stellten Polizisten eine Person ohne Versammlungsbezug im Bereich des U-Bahnhofs Hellersdorf fest, der eine Axt mit sich führte. Bei der Überprüfung leistete der Mann Widerstand gegen die Polizeibeamten. Eine Durchsuchung der Person brachte zudem ein Einhandmesser und mutmaßliches Betäubungsmittel zum Vorschein. Entsprechende Strafermittlungsverfahren wurden eingeleitet.
Vor und bei den Versammlungen in Hellersdorf kam es zu 29 Festnahmen und 27 eingeleiteten Strafermittlungsverfahren wegen Körperverletzung, tätlichem Angriff auf sowie Widerstand gegen Vollstreckungsbeamte, Landfriedensbruch sowie Verwenden von Kennzeichen verfassungswidriger und terroristischer Organisationen. Darüber hinaus wurden zwei Ordnungswidrigkeitenanzeigen eingeleitet.
Die beiden im Einsatz verletzten Polizisten verblieben im Dienst. Im Zusammenhang mit der Versammlung des rechtsextremen Spektrums kam es zu drei Angriffen auf drei Medienvertretende sowie zu einer Beleidigung eines weiteren Medienvertreters. In allen vier Fällen konnten die Tatverdächtigen festgenommen und Strafermittlungsverfahren eingeleitet werden.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1546100.php,berlin_police_results.csv,True,['volksverhetzung'],30.03.2025,"['13:30', '14', '15:35', '16:30', '11', '14', '14:40', '14:50', '15:20', '15:35', '16', '16:48', '17', '17:25', '19', '13:40', '14', '14:25', '15:30', '14:30', '14:40', '17', '17:05', '17:45']",[],"['mann', 'frau', 'frau', 'mann']","['angriff', 'treten', 'beleidigung', 'versammlung', 'körperverletzung']",['volksverhetzung']
Fahrgäste in der S-Bahn fremdenfeindlich beleidigt,30.03.2025,Marzahn-Hellersdorf,"Nr. 0817
Gestern Abend wurden Fahrgäste einer S-Bahn in Marzahn von einem Unbekannten fremdenfeindlich beleidigt. Gegen 19 Uhr befand sich ein Zug der S-Bahn-Linie 7 auf dem Bahnhof Poelchaustraße. Gemäß Angaben der Internetanzeige, die im Nachgang bei der Polizei Berlin einging, beleidigte ein Mann die 20-jährige Anzeigende sowie weitere Fahrgäste in dem Wagon fremdenfeindlich. Der Polizeiliche Staatsschutz beim Landeskriminalamt übernahm die weiteren Ermittlungen.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1546098.php,berlin_police_results.csv,True,['fremdenfeindlich'],30.03.2025,['19'],['20'],['mann'],[],['fremdenfeindlich']
Mutter und Tochter auf Bahnsteig beleidigt,26.03.2025,Neukölln,"Nr. 0787
Gestern Nachmittag kam es in Gropiusstadt zu einer Beleidigung. Nach bisherigen Erkenntnissen beleidigte ein 40-jähriger Mann gegen 15:45 Uhr eine 57-jährige Frau und ihre 31-jährige Tochter auf dem Bahnsteig im U-Bahnhof Wutzkyallee. Beim Verlassen des U-Bahnhofes soll der Mann zudem mehrfach den sogenannten Hitlergruß gezeigt haben. Alarmierte Einsatzkräfte des Polizeiabschnitts 48 nahmen den Mann vorübergehend fest. Nach den polizeilichen Maßnahmen kam er wieder auf freien Fuß. Die weiteren Ermittlungen führt der Polizeiliche Staatsschutz beim Landeskriminalamt Berlin.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1544867.php,berlin_police_results.csv,True,['hitlergruß'],26.03.2025,['15:45'],"['40', '57', '31']","['mann', 'frau', 'mann', 'mann']",['beleidigung'],['hitlergruß']
Nach Schlägerei mit Messer verfolgt,24.03.2025,Lichtenberg,"Nr. 0767
Gestern Mittag gerieten zwei Männer in Alt-Hohenschönhausen aneinander. Die bisherigen Ermittlungen ergaben, dass sich ein 41-Jähriger gegen 12:20 Uhr in einer Bar an der Wartenberger Straße ungefragt an den Tisch eines 19-Jährigen gesetzt habe. Anschließend soll sich ein Streitgespräch entwickelt haben, bei dem der Ältere den Jüngeren zunächst fremdenfeindlich beleidigt und dann geschlagen haben soll. Nach der folgenden körperlichen Auseinandersetzung sei der 41-Jährige zunächst fortgegangen, jedoch kurz darauf mit einem Messer in der Hand wiedergekommen. Als der 19-Jährige die Flucht ergriff, verfolgte der 41-Jährige ihn zunächst und soll sogar das Messer in Richtung des Jüngeren geworfen, ohne diesen jedoch damit getroffen zu haben. Anschließend ging er in eine andere Bar, wo ihn alarmierte Einsatzkräfte festnahmen. Eine freiwillige Atemalkoholkontrolle bei dem 41-jährigen Tatverdächtigen ergab einen Wert von ungefähr 2,5 Promille. Nach erfolgter
    erkennungsdienstlicher Behandlung in einem Polizeigewahrsam setzte er seinen Weg fort. Beide Männer verzichteten auf jeweilige ärztliche Behandlungen ihrer im Laufe der Auseinandersetzung erlittenen Verletzungen. Die Ermittlungen dauern an.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1543974.php,berlin_police_results.csv,True,['fremdenfeindlich'],24.03.2025,['12:20'],"['41', '19', '41', '19', '41', '41']",[],['schlagen'],['fremdenfeindlich']
Jugendliche fremdenfeindlich beleidigt,22.03.2025,Mitte,"Nr. 0746
Gestern Morgen hat ein Unbekannter in Gesundbrunnen eine Jugendliche in einer Straßenbahn fremdenfeindlich beleidigt. Nach ersten Erkenntnissen habe der Unbekannte gegen 7:20 Uhr die 14-Jährige in der Straßenbahn der Linie M13 auf Höhe der Haltestelle U-Bahnhof Osloer Straße zur Seite gedrängt, angespuckt und anschließend fremdenfeindlich beleidigt. Der Tatverdächtige flüchtete in unbekannte Richtung. Die weiteren Ermittlungen hat der Polizeiliche Staatsschutz beim Landeskriminalamt übernommen.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1543533.php,berlin_police_results.csv,True,['fremdenfeindlich'],22.03.2025,['7:20'],['14'],"['jugendliche', 'jugendliche']",[],['fremdenfeindlich']
Frau fremdenfeindlich angegriffen und beleidigt,20.03.2025,Mitte,"Nr. 0725
Gestern Abend kam es zu einem fremdenfeindlichen Übergriff in Mitte. Nach ersten Erkenntnissen sollen zwei 26-jährige Frauen gegen 19:30 Uhr in einem Lebensmittelgeschäft in der Friedrichstraße durch einen unbekannten Tatverdächtigen bezichtigt worden sein, sich an der Kasse vorgedrängelt zu haben. Anschließend habe der Mann die Frauen fremdenfeindlich beleidigt und nach einer von ihnen mit einem Einkaufskorb geschlagen. Die Frau wurde im Bereich des Rückens getroffen und erlitt Schmerzen, die jedoch keiner ärztlichen Behandlung bedurften. Der Tatverdächtige flüchtete in unbekannte Richtung. Die weiteren Ermittlungen hat der Polizeiliche Staatsschutz beim Landeskriminalamt übernommen.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1543072.php,berlin_police_results.csv,True,['fremdenfeindlich'],20.03.2025,['19:30'],['26'],"['frau', 'mann', 'frau']",['schlagen'],"['fremdenfeindlich', 'fremdenfeindlichen']"
Mann fremdenfeindlich beleidigt,20.03.2025,Pankow,"Nr. 0722
Gestern Nachmittag kam es zu einem Polizeieinsatz in Prenzlauer Berg. Eine Zeugin wählte den Notruf, als sie mitbekommen hatte, wie sich eine 56-jährige Tatverdächtige gegen 16.15 Uhr in einer Grünanlage am Arnswalder Platz gegenüber einem unbekannten Mann fremdenfeindlich äußerte. Alarmierte Einsatzkräfte trafen die Tatverdächtige noch am Ort an. Der unbekannte Mann konnte nicht mehr angetroffen werden. Die weiteren Ermittlungen hat ein Fachkommissariat des Polizeilichen Staatsschutzes des Landeskriminalamts Berlin übernommen.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1543036.php,berlin_police_results.csv,True,['fremdenfeindlich'],20.03.2025,['16.15'],['56'],"['mann', 'mann', 'mann']",[],['fremdenfeindlich']
Rettungswageneinsatz gestört und verfassungsfeindliche Parolen gerufen,18.03.2025,Lichtenberg,"Nr. 0705
Gestern Nachmittag hat ein Mann in Neu-Hohenschönhausen den Einsatz eines Rettungswagens der Berliner Feuerwehr gestört und verfassungsfeindliche Parolen gerufen. Nach bisherigen Erkenntnissen behinderte der offenbar stark alkoholisierte 48-Jährige gegen 15:10 Uhr im Röttkenring die Arbeit der Besatzung eines Rettungswagens, als die Rettungskräfte gerade einen anderen, offenbar ebenfalls stark alkoholisierten Mann zur Behandlung in einen Rettungswagen bringen wollten. Hinzualarmierte Kräfte des Polizeiabschnitts 31 hielten den 48-Jährigen zunächst von weiteren Störungen ab, sodass die Rettungskräfte sich weiter um ihren Patienten kümmern konnten. Im weiteren Verlauf verhielt sich der 48-Jährige zunehmend unkooperativ, rief zudem mehrere verfassungsfeindliche Parolen und zeigte den verbotenen Hitlergruß. Der 48-Jährige kam mehrfachen Aufforderungen der Polizeikräfte dies zu unterlassen nicht nach und begann sich selbst zu verletzen, indem er seinen Kopf und seine
    Hände gegen eine Wand schlug, sodass ihn die Polizeikräfte festhielten, damit er sich nicht weiter verletzt. Anschließend kam er zur Behandlung in ein Krankenhaus. Dieses konnte er nach der Behandlung wieder verlassen. Eine bei ihm durchgeführte Atemalkoholmessung erbrachte einen Wert von etwas mehr als 2,8 Promille. Der Polizeiliche Staatsschutz des Landeskriminalamts Berlin führt die weiteren Ermittlungen.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1542170.php,berlin_police_results.csv,True,['hitlergruß'],18.03.2025,['15:10'],"['48', '48', '48', '48']","['mann', 'mann']",[],['hitlergruß']
Homophob beleidigt und geschlagen,16.03.2025,Mitte,"Nr. 0690
Gestern Nachmittag kam es zu einer Körperverletzung sowie zu einer Beleidigung mit homophobem Hintergrund im Hansaviertel. Nach ersten Erkenntnissen soll ein 40-Jähriger aus ungeklärter Ursache einen 67-Jährigen gegen Kopf und Rücken geschlagen, auf ihn eingetreten und homophob beleidigt haben. Der 67-Jährige habe sich seinerseits mit einem Reizgas gegen den Angriff zur Wehr gesetzt. Der 40-Jährige erlitt Augenreizungen, lehnte eine Behandlung jedoch ab. Der 67-Jährige blieb unverletzt. Beide Männer wurden nach Abschluss der Identitätsfeststellungen entlassen. Die weiteren Ermittlungen hat der Polizeiliche Staatsschutz des Landeskriminalamts übernommen.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1541397.php,berlin_police_results.csv,True,['homophobie'],16.03.2025,[],"['40', '67', '67', '40', '67']",[],"['angriff', 'schlagen', 'beleidigung', 'körperverletzung']","['homophobem', 'homophob']"
Kinder fremdenfeindlich beleidigt,16.03.2025,Friedrichshain-Kreuzberg,"Nr. 0683
Gestern Nachmittag kam es zu einer Beleidigung mit fremdenfeindlichem Hintergrund in Friedrichshain. Nach ersten Erkenntnissen soll ein unbekannter Tatverdächtiger gegen 15:35 Uhr am S-Bahnhof Ostkreuz einen 13-jährigen Jungen im Beisein seines 11-jährigen Freundes fremdenfeindlich beleidigt haben. Anschließend soll der Unbekannte eine brennende Zigarette auf den 13-Jährigen geschnippt haben, wodurch ein Brandloch in dessen Jacke zurückblieb. Der Unbekannte bestieg gemeinsam mit den beiden Jungen die einfahrende S-Bahn der Linie S7 habe diese am Bahnhof Lichtenberg verlassen. Die weiteren Ermittlungen hat der Polizeiliche Staatsschutz des Landeskriminalamts übernommen.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1541387.php,berlin_police_results.csv,True,['fremdenfeindlich'],16.03.2025,['15:35'],"['13', '11', '13']",[],['beleidigung'],"['fremdenfeindlich', 'fremdenfeindlichem']"
Mehrere Personen an Bushaltestelle angegangen – Festnahme,11.03.2025,Spandau,"Nr. 0636
Gestern Nachmittag wurden Einsatzkräfte wegen eines randalierenden Mannes nach Spandau alarmiert. Nach ersten Erkenntnissen soll ein 39-jähriger Tatverdächtiger gegen 15:30 Uhr an der Bushaltestelle Rathaus Spandau mit einem Fuß gegen eine geschlossene Bustür getreten und umstehende Personen angebrüllt haben. Ein 42-jähriger Mann forderte ihn daraufhin auf, dies zu unterlassen. Der Tatverdächtige habe sein Gegenüber in der Folge fremdenfeindlich beleidigt und bedroht. Ferner habe er auch versucht, den 42-Jährigen zu schlagen, traf jedoch nicht. Der Angegriffene habe daraufhin seinerseits nach dem Angreifer geschlagen, wodurch dieser eine Rötung im Gesicht erlitt. Anschließend soll sich der 39-Jährige einem 58-jährigen Mann zugewendet, diesen beleidigt und ihm ins Gesicht gespuckt haben. Als der Ältere ihn daraufhin ansprach, soll der Tatverdächtige ihm zwei Mal mit der Faust ins Gesicht geschlagen haben. Gegenüber den Einsatzkräften habe sich der Mann noch
    mehrfach homophob geäußert. Eine freiwillige Atemalkoholkontrolle ergab bei ihm einen Wert von 1,48 Promille. Wegen eines offenen Haftbefehls der Staatsanwaltschaft Potsdam wurde der Tatverdächtige nach Abschluss der polizeilichen Maßnahmen in eine Justizvollzugsanstalt überstellt. Der 58-Jährige wurde zur ambulanten Behandlung in ein Krankenhaus gebracht. Der 42-Jährige bedurfte keiner ärztlichen Behandlung. Die weiteren Ermittlungen hat der Polizeiliche Staatsschutz des Landeskriminalamts übernommen.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1539713.php,berlin_police_results.csv,True,"['fremdenfeindlich', 'homophobie']",11.03.2025,['15:30'],"['39', '42', '42', '39', '58', '58', '42']","['mann', 'mann', 'mann']","['schlagen', 'treten']","['fremdenfeindlich', 'homophob']"
