Title,Date,Location,Text,URL,SourceFile,RightWingRelated,KeywordMatch,ExtractedDate,ExtractedTime,ExtractedAge,ExtractedGender,ExtractedAction,KeywordExtracted,Topic
Fremdenfeindlicher Angriff,23.02.2025,Treptow-Köpenick,"Nr. 0468
Gestern Abend kam es zu einem fremdenfeindlichen Angriff auf zwei Personen in Grünau. Gegen 20:40 Uhr sollen sich eine 14- und 16-Jährige vom Vorplatz des S-Bahnhofs Grünau in Richtung Adlergestell begeben haben. Nach bisherigen Erkenntnissen näherten sich ihnen zwei Unbekannte von hinten und zogen an ihren Kopftüchern. Dadurch zerriss das Kopftuch der 14-Jährigen. Im darauffolgenden Gerangel sollen die Angreifer beiden in die Gesichter geschlagen haben. Des Weiteren habe einer der Männer ein Taschenmesser gezogen und der 16-Jährigen damit eine oberflächliche Schnittverletzung an einem Arm zugefügt. Die Jüngere erlitt Kopfschmerzen. Bei dem Angriff soll sich das Duo zudem fremdenfeindlich gegenüber der 14- und 16-Jährigen geäußert haben. Anschließend flüchteten die Angreifer. Alarmierte Rettungskräfte behandelten beide Verletzte am Ort ambulant. Der Polizeiliche Staatsschutz des Landeskriminalamts übernahm die weiteren Ermittlungen.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1534361.php,berlin_police_results.csv,True,['fremdenfeindlich'],23.02.2025,['20:40'],"['16', '14', '16', '16']",[],"['angriff', 'schlagen']","['fremdenfeindlicher', 'fremdenfeindlich', 'fremdenfeindlichen']",
Kind vom Roller geschubst,21.02.2025,Neukölln,"Nr. 0458
Eine bislang unbekannte Frau soll gestern Nachmittag in Rudow ein Kind vom Roller gestoßen haben. Das Mädchen gab an, gegen 17:15 Uhr mit seinem Roller auf dem Gehweg an der Kreuzung Neuköllner Straße/Stubenrauchstraße Straße gefahren zu sein. Die Unbekannte, die in Begleitung eines Mannes war, soll frontal auf die 12-Jährige zugekommen sein, sie an der Schulter gegriffen und vom Roller geschubst haben. Das Mädchen stürzte daraufhin und verletzte sich an einem Knie und einem Knöchel. Um eine weitere Auseinandersetzung zu verhindern, soll ein ebenfalls unbekannt gebliebener Passant eingegriffen haben. Der Begleiter der Frau soll sich ihm gegenüber fremdenfeindlich in Bezug auf das Mädchen mit dem Roller geäußert haben. Anschließend sollen die mutmaßliche Schubserin und ihr Begleiter ihren Weg zu Fuß in Richtung Neuköllner Straße fortgesetzt haben. Das Mädchen brauchte keine medizinische Behandlung, stand aber unter dem Eindruck des Geschehens. Die Ermittlungen
    führt der Staatsschutz des Landeskriminalamtes.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1534137.php,berlin_police_results.csv,True,['fremdenfeindlich'],21.02.2025,['17:15'],['12'],"['frau', 'mädchen', 'mädchen', 'frau', 'mädchen', 'mädchen']",['schubsen'],['fremdenfeindlich'],
Bilanzmeldung zu mehreren Versammlungen,20.02.2025,bezirksübergreifend,"Neukölln/Mitte
Nr. 0446
Eine Demonstration zum Thema „5-jährige Gedenkdemo zum rechtsterroristischen Hanauattentat 2020“ von der Sonnenallee bis zum Karl-Marx-Platz sowie zwei weitere Versammlungen betreute die Polizei Berlin gestern Nachmittag bis in die Abend- und Nachtstunden. Gegen 17:45 Uhr begann die Gedenkdemonstration mit rund 400 Teilnehmenden. Es wurden die Beschränkungen in deutscher und arabischer Sprache verlesen. Bis 18:15 Uhr wuchs die Zahl auf etwa 1000 Teilnehmende an.
Gegen 18:45 Uhr erfolgten im Bereich Sonnenallee/Heinrich-Schlusnus-Straße bei vier Personen freiheitsbeschränkende Maßnahmen, da diese 30 Besenstiele mit angebrachten roten Flaggen bei sich führten. Da eine eindeutige Verwendungsabsicht zur Meinungskundgabe nicht festgestellt werden konnte und die Hölzer wegen ihrer Beschaffenheit als Schlagwerkzeuge eingesetzt werden können, wurden sie gefahrenabwehrend sichergestellt.
Gegen 19 Uhr gab es weiterhin starken Zustrom zur Versammlung und es formierten sich etwa 1500 Personen auf der Fahrbahn der Sonnenallee. Es erfolgten pro-palästinensische Sprechchöre.
Gegen 19:20 Uhr wurden die Beschränkungen nochmals in deutscher und arabischer Sprache verlesen. Knapp zehn Minuten später nahmen die Einsatzkräfte vereinzelt verbotene pro-palästinensische Ausrufe wahr. Eine eindeutige Zuordnung zu Personen konnte jedoch nicht erfolgen. Es wurde Kontakt mit der Versammlungsleiterin aufgenommen, dass die verbotenen Ausrufe zu unterbinden sind. Entsprechende Durchsagen wurden durch die Versammlungsleiterin anschließend veranlasst.
Gegen 19:40 Uhr setzte sich der Aufzug mit etwa 3600 Teilnehmenden in Bewegung. Nachdem kurz vor 20 Uhr etwa 100 vermummte Personen Einsatzkräfte körperlich bedrängt hatten, wurden von den Polizeikräften Zwangsmaßnahmen in Form von Schieben und Drücken angewandt. Über den bei der Demonstration mitgeführten Lautsprecherwagen wurde zudem eine polizeifeindliche Parole skandiert.
Kurz nach 20 Uhr kam es im Bereich Sonnenallee/Planetenstraße erneut zu verbotenen pro-palästinensischen Ausrufen, woraufhin durch die Versammlungsleiterin erneut Durchsagen veranlasst wurden, diese Ausrufe zu unterlassen.
Gegen 20:35 Uhr nahmen etwa 5300 Personen an der Demonstration teil. Kurz danach wurden erneut verbotene pro-palästinensische Parolen skandiert und durch Teilnehmende wurde mittels eines großen Transparentes die Sicht der Polizeieinsatzkräfte deutlich eingeschränkt. Daraufhin erfolgten Zwangsmaßnahmen in Form von Schieben und Drücken und es erfolgten Videoaufnahmen zur Beweissicherung. Der Aufzug kam daraufhin in der Sonnenallee Ecke Mareschstraße kurzzeitig zum Stehen. Es erfolgte eine erneute Aufforderung an die Versammlungsleiterin, dass die verbotenen Ausrufe zu unterlassen sind. Ein Pressevertreter wurde durch Versammlungsteilnehmende verbal bedrängt, woraufhin Polizeikräfte einschritten.
Gegen 20:50 Uhr erfolgte eine Freiheitsbeschränkung bei einem Mann im Bereich Sonnenallee/Braunschweiger Straße, da dieser eine verbotene pro-palästinensische Parole gerufen haben soll. In diesem Zusammenhang erfolgten Zwangsmaßnahmen in Form von Schieben und Drücken. Es kam zudem zu einem Wurf einer gefüllten Plastikflasche auf die Einsatzkräfte ohne Treffer.
Um kurz nach 21 Uhr wirkten Teilnehmende mit mehreren Transparenten auf eine Einsatzkraft ein, woraufhin erneut Zwangsmaßnahmen, diesmal durch Schieben, Drücken und Schlägen, erfolgten.
Gegen 21:25 Uhr kam es zur Festnahme eines Mannes, dem die Teilnahme an der Versammlung untersagt worden war. Die entsprechende Teilnahmeuntersagung wurde ihm ausgehändigt. In diesem Zusammenhang kam es zu tätlichen Angriffen auf Einsatzkräfte, woraufhin erneut Zwangsmaßnahmen in Form von Schieben, Drücken und Schlägen erfolgten. Drei weiteren Personen wurden festgenommen.
Gegen 21:50 Uhr vernahmen die Einsatzkräfte erneut vereinzelte verbotene pro-palästinensische Ausrufe, ohne das eine Zuordnung zu Personen erfolgen konnte. Es erging eine erneute Aufforderung an die Versammlungsleiterin, dass dieses umgehend zu unterbinden ist.
Im Bereich Karl-Marx-Straße/Werbellinstraße kam der Aufzug gegen 22:10 Uhr vor Erreichen des Endplatzes zum Stehen und es setzte ein starker Abstrom ein, so dass sich circa zehn Minuten später noch etwa 600 Teilnehmende im Bereich Karl-Marx-Straße/Alfred-Scholz-Platz aufhielten. Gegen 22:30 Uhr wurde die Versammlung mit dann noch 500 Teilnehmenden beendet.
Die Kundgebung „Wir gedenken der Opfer aller Anschläge! Hanau, Duisburg, Berlin, Dresden, Mannheim, Solingen, Magdeburg, Aschaffenburg, München! Wie viele Opfer sind genug? Es reicht! Wir stehen auf gegen islamistischen Terror“ in der Sonnenallee begann gegen 17:35 Uhr mit zwei Teilnehmenden und endete kurz nach 19 Uhr mit drei Teilnehmenden. Vorkommnisse gab es keine.
Gegen 15:15 Uhr begann die Kundgebung „Stoppt die Aggression in West Bank – Keine Waffenlieferungen für Israel“ mit 50 Teilnehmenden am Leopoldplatz. Es erfolgte ein Verlesen der Beschränkungen in deutscher und arabischer Sprache. Im Nahbereich der Kundgebung hielt sich eine Person auf, die dem pro-israelischen Spektrum zuzuordnen ist. Sie wurde durch die Polizei geschützt. Aus der Kundgebung heraus erfolgten wiederholt Unmutsäußerungen in Richtung der Person.
Nach einer Beleidigung einer Passantin gegenüber einer Teilnehmerin erfolgte eine Freiheitsbeschränkung. Eine entsprechende Anzeige wurde aufgenommen.
Gegen 16.15 Uhr wurde die Kundgebung beendet. Es nahmen in der Spitze 60 Personen daran teil.
Insgesamt erfolgten elf Festnahmen. Alle kamen nach den polizeilichen Maßnahmen wieder auf freien Fuß. 13 Strafanzeigen wegen Verwendens von Kennzeichen verfassungswidriger und terroristischer Organisationen, tätlichen Angriffs auf Vollstreckungsbeamte, Landfriedensbruchs, versuchter gefährlicher Körperverletzung, Beleidigung und übler Nachrede wurden aufgenommen. Rund 570 Polizeibeamtinnen und –beamte waren im Einsatz. Verletzte Einsatzkräfte gab es nicht.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1533560.php,berlin_police_results.csv,True,['verfassungswidrig'],20.02.2025,"['17:45', '18:15', '18:45', '19', '19:20', '19:40', '20', '20', '20:35', '20:50', '21', '21:25', '21:50', '22:10', '22:30', '17:35', '19', '15:15', '16.15']",['5'],['mann'],"['angriff', 'schlagen', 'beleidigung', 'versammlung', 'körperverletzung']",['verfassungswidriger'],
Festnahme nach Schmierereien auf Gehweg,19.02.2025,Mitte,"Nr. 0440
Gestern Nachmittag wurde in Mitte ein Mann festgenommen, der mehrere verfassungswidrige Symbole auf einen Gehweg geschmiert haben soll. Nach derzeitigem Kenntnisstand sahen Passanten gegen 15:30 Uhr in der Invalidenstraße, wie der 47-Jährige vor einem Supermarkt drei verbotene Hakenkreuze in roter Farbe auf dem Gehweg auftrug. Auch einen Davidstern brachte er daneben auf. Alarmierte Polizeikräfte nahmen den Mann noch in der Nähe fest. Eine Atemalkoholmessung bei ihm ergab einen Wert von fast 2,8 Promille. Da die Symbole mit Kreide aufgebracht worden waren, konnten sie rückstandslos entfernt werden. Mehrere Kreidestücke, die der Mann bei sich trug, wurden als Tatmittel beschlagnahmt. Nach den polizeilichen Maßnahmen kam der Mann wieder auf freien Fuß. Der Polizeiliche Staatsschutz des Landeskriminalamtes hat die weiteren Ermittlungen übernommen.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1532972.php,berlin_police_results.csv,True,"['hakenkreuz', 'verfassungswidrig']",19.02.2025,['15:30'],['47'],"['mann', 'mann', 'mann', 'mann']",[],"['hakenkreuze', 'verfassungswidrige']",
Mann beleidigt Kind,18.02.2025,Spandau,"Nr. 0420
Ein Junge wandte sich gestern Nachmittag in Spandau an die mobile Wache des Polizeiabschnitts 21 und teilte mit, dass er soeben beleidigt worden sei. Nach bisherigen Erkenntnissen soll sich der 13-Jährige an einer Bushaltestelle im Altstädter Ring befunden haben, als ihn ein 39-jähriger Mann fremdenfeindlich und homophob beleidigte, außerdem soll er dem Jungen den Mittelfinger gezeigt haben. Die Polizistin und der Polizist nahmen den 39-Jährigen fest. Der Tatverdächtige wurde nach erfolgter Identitätsfeststellung am Ort entlassen. Die weiteren Ermittlungen führt der Polizeiliche Staatsschutz des Landeskriminalamts Berlin.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1532654.php,berlin_police_results.csv,True,"['fremdenfeindlich', 'homophobie']",18.02.2025,[],"['13', '39', '39']","['mann', 'junge', 'mann']",[],"['fremdenfeindlich', 'homophob']",
Fremdenfeindlicher Angriff,15.02.2025,Charlottenburg-Wilmersdorf,"Nr. 0420
Gestern Abend soll ein Unbekannter im Ortsteil Charlottenburg einen Mann fremdenfeindlich angegriffen haben. Den bisherigen Erkenntnissen zufolge habe sich ein 41-Jähriger am U-Bahnhof Adenauerplatz aufgehalten, wo er von einem bislang noch unbekannten Mann fremdenfeindlich angesprochen wurde. Als der 41-Jährige ein Foto vom Unbekannten machen wollte, habe dieser ihm ins Gesicht geschlagen. Anschließend flüchtete der Angreifer unerkannt. Der Polizeiliche Staatsschutz des Landeskriminalamts ermittelt.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1532044.php,berlin_police_results.csv,True,['fremdenfeindlich'],15.02.2025,[],"['41', '41']","['mann', 'mann']","['angriff', 'schlagen']","['fremdenfeindlicher', 'fremdenfeindlich']",
Rassistisch beleidigt,13.02.2025,Charlottenburg-Wilmersdorf,"Nr. 0406
Gestern Nachmittag alarmierte eine junge Frau die Polizei in Charlottenburg, da sie rassistisch beleidigt worden sein soll. Nach ersten Erkenntnissen soll ein unbekannter Tatverdächtiger die 18-Jährige gegen 15.30 Uhr auf dem U-Bahnhof Zoologischer Garten rassistisch beleidigt haben, als sie vom Bahnsteig der U-Bahnlinie U9 in Richtung Ausgang lief. Im Anschluss flüchtete der Tatverdächtige unerkannt. Der Polizeiliche Staatsschutz des Landeskriminalamts Berlin hat die weiteren, noch andauernden Ermittlungen zu dem Sachverhalt übernommen.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1531428.php,berlin_police_results.csv,True,['rassistisch'],13.02.2025,['15.30'],['18'],"['junge', 'frau']",[],['rassistisch'],
Nach Ellenbogenschlag fremdenfeindlich beleidigt,13.02.2025,Friedrichshain-Kreuzberg,"Nr. 0405
Gestern Vormittag griff ein Mann eine Frau körperlich an und beleidigte sie fremdenfeindlich. Den bisherigen Erkenntnissen zufolge fuhren gegen 10:45 Uhr eine 43-Jährige und ein unbekannt gebliebener Mann mit der U-Bahnlinie 1 vom Halleschen Tor zur Prinzenstraße. Im Waggon soll der Mann zunächst scheinbar anlasslos mit einem Ellenbogen gegen den Bauch der Frau gestoßen haben. Dann soll er sie anschließend fremdenfeindlich beleidigt haben. Die 43-Jährige soll sich verbal gewehrt haben und stieg an der U-Bahnstation Prinzenstraße aus. Der Mann folgte ihr jedoch und ließ erst von ihr ab, als Passanten sich einschalteten. Er flüchtete unerkannt. Der Polizeiliche Staatsschutz des Landeskriminalamts Berlin führt die weiteren Ermittlungen.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1531393.php,berlin_police_results.csv,True,['fremdenfeindlich'],13.02.2025,['10:45'],"['43', '43']","['mann', 'frau', 'mann', 'mann', 'frau', 'mann']",[],['fremdenfeindlich'],
Sachbeschädigung mit politischem Hintergrund,12.02.2025,Tempelhof-Schöneberg,"Nr. 0388
Gestern Vormittag wurde in Schöneberg ein Schriftzug an einem Bürgerbüro festgestellt. Ein Mitarbeiter sei um 9:15 Uhr am Bürgerbüro in der Kolonnenstraße auf die Sachbeschädigung mit politischen Hintergrund aufmerksam geworden. Unbekannte beschädigten die Fensterscheibe mit schwarzer Farbe und flüchteten. Der Polizeiliche Staatsschutz des Landeskriminalamtes führt die weiteren Ermittlungen.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1530852.php,berlin_police_results.csv,True,['mit politischem hintergrund'],12.02.2025,['9:15'],[],[],[],['mit politischem hintergrund'],
Antisemitische Beleidigung in der Öffentlichkeit,12.02.2025,Charlottenburg-Wilmersdorf,"Nr. 0385
Gestern Nachmittag soll ein 53-jähriger Mann in Charlottenburg antisemitische Parolen gerufen haben. Eine Zeugin alarmierte gegen 16:50 Uhr die Polizei in die Wilmersdorfer Straße/Pestalozzistraße, wo die Polizisten den Tatverdächtigen antrafen. Dieser äußerte auch gegenüber den Einsatzkräften weitere volksverhetzende Ausrufe. Der 53-Jährige wurde festgenommen, erkennungsdienstlich behandelt und anschließend entlassen. Die weiteren Ermittlungen führt der Polizeiliche Staatsschutz des Landeskriminalamtes Berlin.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1530830.php,berlin_police_results.csv,True,['antisemitisch'],12.02.2025,['16:50'],"['53', '53']",['mann'],['beleidigung'],['antisemitische'],
Sachbeschädigung mit politischem Hintergrund,10.02.2025,Lichtenberg,"Nr. 0367
Weil er gestern Nachmittag ein Wahlplakat von einer Laterne in Lichtenberg entfernt hat, muss sich der Tatverdächtige nun verantworten. Gegen 15:30 Uhr beobachteten Kräfte unserer 12. Einsatzhundertschaft, wie sich ein Mann an einem in der Frankfurter Allee angebrachten Plakat zu schaffen machte und dieses schließlich zu Boden warf. Sowohl der 38-Jährige als auch seine gleichaltrige Begleiterin wurden daraufhin angesprochen und durchsucht. Auch ihre Identitäten wurden festgestellt. Mit Abschluss der polizeilichen Maßnahmen, in deren Rahmen eine Anzeige wegen Sachbeschädigung gefertigt wurde, durften die beiden ihren Weg fortsetzen. Die Ermittlungen dauern an.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1529842.php,berlin_police_results.csv,True,['mit politischem hintergrund'],10.02.2025,['15:30'],['38'],['mann'],[],['mit politischem hintergrund'],
Homophob beleidigt und geschlagen,10.02.2025,Charlottenburg-Wilmersdorf,"Nr. 0366
Wegen des Verdachts eines homophoben Angriffs, der sich bereits in der Nacht zu Sonntag in Charlottenburg ereignet haben soll, hat der Polizeiliche Staatsschutz des Landeskriminalamts die Ermittlungen übernommen. Gegen 18 Uhr erschien gestern ein 24-Jähriger auf der Wache eines Polizeiabschnitts, um eine Anzeige wegen Beleidigung und Körperverletzung zu erstatten. Dabei gab er an, sich gegen 2 Uhr vor einem Club in der Budapester Straße befunden zu haben, als eine Gruppe von etwa sechs ihm Unbekannten auf ihn zukam und sich vor ihm aufbaute. Einer der Provokateure soll ihn dann sowohl homophob beleidigt als auch mit der Faust ins Gesicht geschlagen haben, wodurch der 24-Jährige zu Boden ging. Erst als eine Zeugin dazwischenging, flüchteten die sechs. Da der Angegriffene sich beim Sturz am Knie verletzt hatte und über Schmerzen am Kopf klagte, begab er sich in ambulante ärztliche Behandlung. Die weiteren Ermittlungen dauern an.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1529804.php,berlin_police_results.csv,True,['homophobie'],10.02.2025,['18'],"['24', '24']",[],"['angriff', 'schlagen', 'beleidigung', 'körperverletzung']","['homophoben', 'homophob']",
Mann homophob beleidigt,10.02.2025,Neukölln,"Nr. 0365
Gestern erstattete ein Mann Anzeige, nachdem er am Vormittag in einem Bus homophob beleidigt worden war. Er gab an, kurz vor 10:30 Uhr an der Haltestelle Fuldastraße in einen Bus der Linie M41 in Richtung Baumschulenweg eingestiegen zu sein. Ein Mann habe ihn auf seine Kleidung angesprochen und ihn in diesem Zusammenhang homophob beleidigt. Die Ermittlungen hat der Polizeiliche Staatsschutz des Landeskriminalamtes übernommen.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1529790.php,berlin_police_results.csv,True,['homophobie'],10.02.2025,['10:30'],[],"['mann', 'mann', 'mann']",[],['homophob'],
Frau beleidigt,09.02.2025,Neukölln,"Nr. 0363
Gestern Nachmittag zeigte eine Frau in Neukölln eine Beleidigung an. Die 32-Jährige sei gegen 16 Uhr in einem Supermarkt am Maybachufer auf einen Mann getroffen, der sie bereits vor einigen Wochen am selben Ort beleidigt habe, und habe diesen daraufhin angesprochen. Beim Verlassen des Supermarktes sollen die beiden erneut zusammengetroffen sein. Der Unbekannte soll die 32-Jährige erneut fremdenfeindlich beleidigt haben. Die Ermittlungen übernahm der Polizeiliche Staatsschutz des Landeskriminalamtes.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1529728.php,berlin_police_results.csv,True,['fremdenfeindlich'],09.02.2025,['16'],"['32', '32']","['frau', 'frau', 'mann']",['beleidigung'],['fremdenfeindlich'],
Versammlungen mit Bezug zum Nahostkonflikt – Polizei Berlin zieht Bilanz,09.02.2025,Tempelhof-Schöneberg,"Nr. 0360
Die Polizei Berlin schützte gestern zwei Versammlungen, die einen thematischen Bezug zum andauernden Nahostkonflikt hatten. Hierfür waren über 250 Polizeikräfte im Einsatz.
Eine angezeigte Kundgebung mit dem Titel “Friedliche, stille Gegenkundgebung: Gegen jede Form von Antisemitismus – Für das Existenzrecht Israels – Believe Israeli Women” begann gegen 15:45 Uhr am Wittenbergplatz auf der dortigen Mittelinsel mit 19 Teilnehmenden. Die Versammlungteilnehmenden zeigten diverse themenbezogene Fahnen. Gegen 16:53 Uhr wurde ein Teilnehmer aus einem vorbeifahrenden Fahrzeug heraus durch eine unbekannte Person bespuckt. Es wurde ein Strafermittlungsverfahren wegen Beleidigung eingeleitet. Die Kundgebung wurde gegen 17:52 Uhr in der Spitze mit 32 Teilnehmenden ohne weitere Vorkommnisse beendet.
Unter dem Motto: “Stoppt die Aggression in West Bank! Keine Waffenlieferung an Israel“ wurde für den Zeitraum von 16 bis 18 Uhr auf dem Wittenbergplatz eine Kundgebung angezeigt. In der Spitze nahmen 300 Personen an dieser Versammlung teil.
Gegen 15.15 Uhr erfolgten zwischen dem Versammlungsleiter und der Polizei letzte Absprachen zur Versammlung. Hier wurden dem Versammlungsleiter das Ergebnis des verwaltungsrechtlichen Verfahrens verdeutlicht, sowie die Konsequenzen bei Beschränkungsverstößen erklärt. Unter anderem waren Ausrufe und Redebeiträge ausschließlich in deutscher und englischer Sprache erlaubt. Gegen 15:30 Uhr befanden sich circa 20 zukünftige Teilnehmende am zukünftigen Kundgebungsort, die Fahnen und Transparente in deutscher und arabischer Sprache ohne strafbaren Inhalt bei sich hatten. Die Versammlung begann gegen 16 Uhr am Wittenbergplatz mit 110 Teilnehmenden. Die Beschränkungen wurden in deutscher und arabischer Sprache verlesen. Während die Zahl der Teilnehmenden auf 180 Personen anwuchs, erfolgten Freiheitsbeschränkungen von zwei männlichen Teilnehmern nach Verdacht des Verstoßes gegen die im Vorfeld ausgesprochenen Teilnahmeuntersagungen. Da sich dieser Verdacht nicht bestätigte,
    wurden die beiden Männer aus den polizeilichen Maßnahmen wieder entlassen. Im weiteren Verlauf der Versammlung erfolgte ein Redebeitrag weder in deutscher noch in englischer Sprache. Das Anstimmen eines Liedes weder in deutscher noch in englischer Sprache wurde durch Einsatzkräfte unterbunden. In beiden Fällen wurde der Versammlungsleiter auf die Nichteinhaltung der Beschränkungen hingewiesen. Gegen 17 Uhr nahmen rund 300 Personen an der Versammlung teil. Es wurden von Unbekannten Ausrufe in nicht deutscher beziehungsweise nicht englischer Sprache mit strafbaren Inhalten skandiert. Aufgrund der bis zu diesem Zeitpunkt festgestellten Vorkommnisse und des zunehmend unkooperativenen Verhaltens des Versammlungsleiters erfolgte die Auflösung der Kundgebung. Während des Gesprächs mit dem Versammlungsleiter erfolgten weitere Ausrufe, die gegen die Beschränkungen verstießen. Die Polizei tätigte zwei Durchsagen über ihr Lautsprecherfahrzeug, dass die Kundgebung aufgelöst ist
    und die Personen als ehemalige Versammlungsteilnehmenden den ehemaligen Versammlungsort zu verlassen haben. Nach einsetzendem Abstrom hielten sich noch 200 ehemalige Teilnehmende am Wittenbergplatz auf. Es wurden polizeikritische und pro-palästinensische Sprechchöre skandiert. Gegen 17:10 Uhr tätige die Polizei eine dritte Durchsage zur Auflösung der Versammlung und der Aufforderung den ehemaligen Versammlungsort zu verlassen. Daraufhin setzten sich rund 30-40 Personen auf den Boden am Brunnen des Wittenbergplatzes und hakten sich unter. Eine Frau zeigte eine rote Dreiecksfahne. Gegen die Frau wurde ein Strafermittlungsverfahren eingeleitet. Insgesamt hielten sich noch 150 ehemalige Teilnehmende vor Ort auf.
Gegenüber dem Polizeiführer wurde eine Spontanversammlung „Gegen Polizeigewalt“ angezeigt. Der Kundgebungsort dieser Spontanversammlung wurde für den Winterfeldplatz im Zeitraum von 18:30 bis 19 Uhr festgelegt.
Im weiteren Verlauf erfolgten mehrere Freiheitsbeschränkungen von ehemaligen Versammlungsteilnehmenden, unter anderem wegen es Nichtentfernens vom ehemaligen Kundgebungsort, Widerstand gegen Vollstreckungsbeamten, Körperverletzung und Beleidigung. Dabei wandten Einsatzkräfte unmittelbaren Zwang in Form von körperlicher Gewalt durch Schieben, Drücken, Festnahmetechniken und Schlägen an. Nach einer wechselseitigen Beleidigung und Körperverletzung wurden zwei Männer in ihrer Freiheit beschränkt. Einen der involvierten Männer forderte wegen leichter Verletzungen selbstständig einen Rettungswagen an. Nach erfolgter Aufnahme der Personalien wurden gegen beide Männer Strafermittlungsverfahren eingeleitet. Der Verletze wurde durch einen Rettungswagen in ein Krankenhaus gebracht. Nach einer Beleidigung und Körperverletzung eines Pressevertreters wurde eine Person in ihrer Freiheit beschränkt und ein entsprechendes Strafermittlungsverfahren eingeleitet.
Die anlässlich der ergangenen Auflösungsverfügung der Kundgebung am Wittenbergplatz, angezeigte Spontanversammlung zum Thema: „Gegen Polizeigewalt“ am Winterfeldtplatz begann gegen 18:40 Uhr mit 25 Teilnehmenden. Im Vorfeld wurden dem Versammlungsleiter die Beschränkungen, die für seine Kundgebung galten, bekanntgegeben. Hierbei handelte es sich um die gleichen Beschränkungen wie zuvor am Wittenbergplatz. Gegen 19:26 Uhr erfolgte eine Freiheitsbeschränkung eines Teilnehmers nach Beleidigung im Bereich Winterfeldtplatz/Goltzstraße. In diesem Zusammenhang kam es zur Anwendung körperlicher Gewalt in Form von Schieben und Drücken gegenüber nachströmenden Kundgebungsteilnehmenden. Ein Strafermittlungsverfahren wurde eingeleitet. Die Kundgebung wurde um 19:40 Uhr mit in der Spitze 50 Teilnehmenden ohne weitere Vorkommnisse beendet.
Im gesamten Verlauf wurden insgesamt 28 Personen vorübergehend festgenommen sowie 13 Straf- und 17 Ordnungswidrigkeitenanzeigen gefertigt. Für zwei Frauen, die an der Kundgebung am Wittenbergplatz teilgenommen hatten, wurde ein Anschlussgewahrsam bis um Mitternacht des gestrigen Tages erlassen. Ein Polizist wurde verletzt, konnte jedoch seinen Dienst fortsetzen.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1529702.php,berlin_police_results.csv,True,['antisemitismus'],09.02.2025,"['15:45', '16:53', '17:52', '18', '15.15', '15:30', '16', '17', '17:10', '19', '18:40', '19:26', '19:40']",[],"['frau', 'frau']","['schlagen', 'beleidigung', 'versammlung', 'körperverletzung']",['antisemitismus'],
Fremdenfeindlich beleidigt und geschubst - Festnahme,08.02.2025,Mitte,"Nr. 0355
Gestern Abend wurden Einsatzkräfte wegen einer Beleidigung auf fremdenfeindlicher Basis nach Mitte alarmiert. Nach ersten Erkenntnissen soll ein 29-jähriger Mann gegen 20:30 Uhr mit einem 48-Jährigen im Eingangsbereich eines Lebensmittelgeschäfts am Bahnhof Friedrichstraße in Streit geraten sein und diesen geschubst haben. Anschließend soll der Jüngere sein Gegenüber mehrfach fremdenfeindlich und rassistisch beleidigt haben. Der Mann konnte festgenommen und zur Durchführung einer erkennungsdienstlichen Behandlung in ein Polizeigewahrsam gebracht werden. Anschließend wurde er wieder auf freien Fuß gesetzt. Die weiteren Ermittlungen hat ein Fachkommissariat der Polizeidirektion 2 (West) übernommen.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1529646.php,berlin_police_results.csv,True,"['fremdenfeindlich', 'rassistisch']",08.02.2025,['20:30'],"['29', '48']","['mann', 'mann']",['beleidigung'],"['rassistisch', 'fremdenfeindlicher', 'fremdenfeindlich']",
