Title,Date,Location,Text,URL,RightWingRelated,KeywordMatch,OffenceType,Action,PossibleMotive
Graffiti an der Bibliothek,10.03.2025,"Wildau, Dahme-Spreewald","Mitarbeiter der Citystreife riefen am Sonntagabend die Polizei in die Freiheitsstraße, da sie zwei Personen beim Graffiti-Sprühen festgestellt hatten. An der Fassade der Bibliothek waren vier pinkfarbene Schriftzüge mit bis zu fünf Metern Größe aufgebracht worden, deren Beseitigung mit mehreren tausend Euro zu Buche schlagen wird. Bisherigen Ermittlungen zufolge ist kein politischer Hintergrund erkennbar.
Vor Ort fanden die Beamten zwar die Tatverdächtigen nicht mehr vor, dafür umfangreiche Spurenträger und Beweismittel, die sichergestellt wurden. Weiterführende Ermittlungen hat zu Wochenbeginn die Kriminalpolizei übernommen.",https://polizei.brandenburg.de/pressemeldung/graffiti-an-der-bibliothek/5485753,False,,[],[],[]
Einbruchsversuch,10.03.2025,"Hänchen, Spree-Neiße","Die Polizei wurde am Sonntag gegen 22:45 Uhr zur Gesamtschule gerufen. Unbekannte hatten hier versucht, einzubrechen. Nach ersten Erkenntnissen ist nicht gelungen, ins Gebäude zu gelangen.
Es entstand dennoch ein Schaden von mehreren tausend Euro. Kriminaltechniker sicherten Spuren, mit denen sich nun die Kriminalpolizei beschäftigt.",https://polizei.brandenburg.de/pressemeldung/einbruchsversuch/5485714,False,,[],[],[]
Verbotene Kletterpartie,10.03.2025,"Guben, Spree-Neiße","Die Polizei wurde am Sonntagnachmittag in die Erich-Weinert-Straße gerufen, weil Personen auf dem Dach eines leerstehenden Gebäudes herumliefen. Die Beamten konnten zwei Teenagerinnen antreffen und sie darüber aufklären, dass sie weder auf dem Gelände, noch auf dem Dach etwas zu suchen hatten und das die Aktion sowohl verboten als auch gefährlich war.
Anschließend übergaben sie die Mädchen ihren Eltern.",https://polizei.brandenburg.de/pressemeldung/verbotene-kletterpartie/5485706,False,,[],[],[]
Verkehrsunfallflucht,10.03.2025,"Spremberg, Spree-Neiße","Gleich zwei abgestellte Autos hat ein Unbekannter in der Muskauer Straße beschädigt. Der Fahrer eines VW musste am Sonntagvormittag feststellen, dass ein Auto seinen ""Golf"" gestreift hatte. Auch an einem FORD hatte es Spuren hinterlassen.
Es entstand ein Schaden von mehr als 5.000 Euro. Weil die Fahrerin oder der Fahrer einfach weitergefahren war, ohne sich um den Unfall zu kümmern, ermittelt die Polizei nun wegen Unfallflucht.",https://polizei.brandenburg.de/pressemeldung/verkehrsunfallflucht/5485702,False,,[],[],[]
Kellereinbrüche,10.03.2025,"Cottbus, Cottbus","Die Polizei wurde am Sonntag gegen 11:30 Uhr wegen eines Einbruchs in den Schmellwitzer Weg gerufen. Unbekannte hatten im Keller des Mehrfamilienhauses gleich drei Abteile aufgebrochen. Aus einem nahmen sie unter anderem Angelzubehör, aus dem zweiten vier Kompletträder mit.
Aus dem dritten Abteil wurde nach ersten Erkenntnissen nichts gestohlen, doch die Schäden summieren sich auf mehrere tausend Euro. Die Kriminalpolizei hat die weiteren Ermittlungen übernommen.",https://polizei.brandenburg.de/pressemeldung/kellereinbrueche/5485694,False,,[],[],[]
Graffiti an Straßenbahn,10.03.2025,"Cottbus, Cottbus","Unbekannte haben in der Walther-Rathenau-Straße eine Straßenbahn mit Graffiti ""verschönert"". Darüber wurde die Polizei am Sonntagmittag informiert.
Der betroffene Waggon kann erstmal nicht weiter genutzt werden, welcher Schaden durch den Ausfall und die Beseitigung der Schmierereien entsteht, ist noch nicht absehbar.",https://polizei.brandenburg.de/pressemeldung/graffiti-an-strassenbahn/5485696,False,,[],[],[]
Einbruch in Firmentransporter,10.03.2025,"Drewitz, Potsdam","Am Sonntagnachmittag wurde aus Drewitz der Einbruch in einen Firmentransporter angezeigt. Unbekannte Täter verschafften sich in der Zeit zwischen Donnerstag und Sonntag gewaltsam Zugang zum Laderaum eines Renault-Transporters. Nach dem die Seitentür aufgeschnitten wurde, stahlen die Täter Werkzeuge und Zubehör im Wert von 2500 Euro. Hinweise auf Täter liegen derzeit nicht vor.",https://polizei.brandenburg.de/pressemeldung/einbruch-in-firmentransporter/5484874,False,,[],[],[]
PKW Opel aufgebrochen,10.03.2025,"Altstadt, Thüringer Straße, Brandenburg an der Havel","Am Sonntagvormittag wurde der Polizei ein besonders schwerer Fall des Diebstahls aus einem Fahrzeug gemeldet. Die unbekannten Täter drangen über die vergangenen Nachtstunden gewaltsam in den auf dem öffentlichem Verkehrsraum abgestellten PKW Opel ein und entwendeten anschließend mehrere Gegenstände. Der Schaden wird auf einen vierstelligen Betrag geschätzt.
Durch die Beamten wurde eine Strafanzeige aufgenommen und nach auswertbaren Spuren gesucht. Die weiteren Ermittlungen übernimmt die Kriminalpolizei.",https://polizei.brandenburg.de/pressemeldung/pkw-opel-aufgebrochen/5484562,False,,[],[],[]
Diebstahl aus Kfz,09.03.2025,"Bundesautobahn 10, Parkplatz Schwielowsee zwischen Autobahndreieck Werder undAnschlussstelle Glindow in Richtung Frankfurt (Oder), Potsdam-Mittelmark","Der 34-jährige Fahrzeugführer eines polnischen PKW hielt seine Nachtruhe auf dem Parkplatz Schwielowsee ab. Unbekannte Täter klopften an das geparkte Fahrzeug und öffneten die nicht verschlossene Kofferraumklappe, weshalb der Geschädigte ausstieg. Anschließend nahm er nur noch wahr, wie zwei Personen wegrannten. Als er sich zurück in den PKW begab stellte er fest, dass sein Rucksack samt Inhalt fehlte (Fahrersitz). Der Schaden wird auf circa 400 Euro geschätzt. Die Kriminalpolizei ermittelt. Die Begehungsweise durch „Ablenken (z. B. durch Klopfen) und Wegnehmen“ ist typisch für
derartige Delikte. Die Täter handeln schnell, arbeitsteilig und entkommen meist vollkommen unerkannt mit einem in der Nähe wartenden Kfz.",https://polizei.brandenburg.de/pressemeldung/diebstahl-aus-kfz/5484550,False,,[],[],[]
Dieseldiebstahl,09.03.2025,"Bundesautobahn 10, Parkplatz Siethener Elsbruch zwischen Anschlussstelle Ludwigsfelde West und Autobahndreieck Nuthetal, Teltow-Fläming","Durch unbekannte Täter wurden aus einem abgeparkten Sattelzug
circa 400 Liter Dieselkraftstoff abgezapft. Der Fahrer hatte während der Tat in seinem LKW geschlafen und den Diebstahl erst am Morgen bemerkt. Die Kriminalpolizei ermittelt.",https://polizei.brandenburg.de/pressemeldung/dieseldiebstahl/5484548,False,,[],[],[]
Achtung Betrug! -Goldschmuckverkäufer unterwegs,09.03.2025,"Bundesautobahn 2, RTK Buckautal-Süd zwischen Anschlussstelle Ziesar undAnschlussstelle Wollin in Richtung Berlin, Potsdam-Mittelmark","Einem 60-jährigen Fahrzeugführer wurde auf dem Raststättengelände durch zwei unbekannte Personen Goldschmuck zum Kauf angeboten. Der Geschädigte zahlte daraufhin 100 Euro. Weil er aber vermutete, dass es sich nicht um echtes Gold handelte wollte er nun das Geschäft rückgängig machen. Dies lehnten die beiden Tatverdächtigen ab und fuhren mit ihrem PKW unerkannt davon. Es wurde eine Anzeige wegen Betruges erstattet. Die Kriminalpolizei ermittelt.",https://polizei.brandenburg.de/pressemeldung/achtung-betrug-goldschmuckverkaeufer-unt/5484542,False,,[],[],[]
Illegale Müllentsorgung mit geklautem Anhänger,09.03.2025,"Kloster Lehnin, Michelsdorf, Zum Mühlenberg, Potsdam-Mittelmark","Ein Zeuge informierte die Polizeiinspektion Brandenburg, dass ein PKW - Anhänger samt geladener Dachpappe in Michelsdorf entsorgt wurde. Anhand des Kennzeichens konnte der berechtigte Nutzer ermittelt werden. Dieser gab an, dass der Anhänger bereits Anfang der Woche gestohlen wurde und sich die Dachpappe zu diesem Zeitpunkt nicht auf dem Anhänger befand. Der Anhänger konnte dank des Zeugenhinweises und nach Spurensicherung vor Ort an den Eigentümer übergeben werden. Eine Anzeige wegen Fahrzeugdiebstahl und illegaler Müllentsorgung wurde gegen unbekannt gefertigt.",https://polizei.brandenburg.de/pressemeldung/illegale-muellentsorgung-mit-geklautem-a/5484524,False,,[],[],[]
Räuber im Gebüsch,09.03.2025,"Treuenbrietzen, Johanniter Straße, Potsdam-Mittelmark","Ein 20-Jähriger war am frühen Freitagnachmittag zu Fuß in Treuenbrietzen unterwegs, als unvermittelt eine unbekannte männliche Person aus dem Gebüsch sprang und diesen zu Boden stieß. Als der junge Mann am Boden lag, entriss ihm der unbekannte Täter den Rucksack und entleerte diesen. Der Täter flüchtete unerkannt mit einer Geldbörse sowie mehrere Schulbüchern des Geschädigten. Der Unbekannte war mit einem dunklen Jogginganzug mit Kapuze bekleidet. An mehr konnte sich der 20-Jährige nicht mehr erinnern.
Die Fahndungsmaßnahmen nach dem Täter im Umfeld blieben erfolglos. Es wurde ein Ermittlungsverfahren eingeleitet.",https://polizei.brandenburg.de/pressemeldung/raeuber-im-gebuesch/5484484,False,,[],[],[]
Wohnungseinbruch am Tage,09.03.2025,"Neustadt, Bauhofstraße, Brandenburg an der Havel","Eine 46-jährige Mieterin einer Wohnung in einem Mehrfamilienhaus meldete der Polizei, dass in ihre Wohnung in der dritten Etage eingebrochen wurde. Beim Eintreffen der Beamten konnten diese feststellen, dass unbekannte Täter die Wohnungstür aufgebrochen haben, um hinein zu gelangen. Im Innern wurden in der Folge alle Räume durchwühlt. Was entwendet wurde, kann derzeit noch nicht gesagt werden. Zur Spurensicherung kam die Kriminaltechnik
vor Ort. Eine Strafanzeige wurde aufgenommen und für die weiteren Ermittlungen an die Kriminalpolizei übergeben.",https://polizei.brandenburg.de/pressemeldung/wohnungseinbruch-am-tage/5484466,False,,[],[],[]
BMW gestohlen,09.03.2025,"Ludwigsfelde, Brandenburgische Straße, Teltow-Fläming","Über Nacht entwendeten unbekannte Täter einen nicht zugelassenen PKW BMW. Da der schwarze PKW nicht fahrbereit war, ist von der Zuhilfenahme eines Anhängers oder eines entsprechenden Fahrzeugs auszugehen.
Der Zeitwert wurde auf ca. 3.000 Euro beziffert.
06.03.2025, 19:00 Uhr bis 07.03.2025, 09:30 Uhr",https://polizei.brandenburg.de/pressemeldung/bmw-gestohlen/5484279,False,,[],[],[]
Diebstahl von Bootsmotor,09.03.2025,"Werder (Havel), Potsdam-Mittelmark","Die Polizei ist am Samstag über den Diebstahl eines Außenbordmotors informiert worden. Nach derzeitigem Kenntnisstand verschafften sich unbekannte Täter Zugang zum Gelände eines Bootsplatzes an der Potsdamer Havel und machten sich an einem Sportmotorboot, das sich im Winterlager befand, zu schaffen. Vom Boot entfernten sie den Außenbordmotor und entwendeten diesen.
Der entstandene Schaden wird auf mehrere tausend Euro geschätzt. Beamte der Wasserschutzpolizei nahmen eine entsprechende Strafanzeige auf. Der gestohlene Motor wurde zur Fahndung ausgeschrieben. Die weiteren Ermittlungen führt die Kriminalpolizei.
Tatzeit: 20.10.2024 -  08.03.2025, 11:00 Uhr",https://polizei.brandenburg.de/pressemeldung/diebstahl-von-bootsmotor/5484273,False,,[],[],[]
Mann randaliert in Innenstadt,07.03.2025,"Falkenberg, Elbe-Elster","Mehrere Zeugen riefen am Freitagvormittag die Polizei, weil ihnen das Verhalten eines Mannes seltsam vorgekommen war. Der hatte sich am Denkmal Teilen seiner Kleidung entledigt und lief nun pöbelnd durch die Bahnhofstraße, wobei er Personen beleidigte und Gegenstände herumwarf.
Die hinzugerufenen Beamten versuchten, den wegen Drogendelikten bereits polizeibekannten Mann zu beruhigen, was er nicht tat. Daraufhin nahmen sie in mit ins Revier.",https://polizei.brandenburg.de/pressemeldung/mann-randaliert-in-innenstadt/5481409,False,,[],[],[]
Versuchter Einbruch in ein Einfamilienhaus,07.03.2025,"Nauen, Havelland","Der Bewohner eines Einfamilienhauses stellte am Donnerstagvormittag frische Hebelspuren an seiner Hauseingangstür fest und informierte daraufhin die Polizei. Augenscheinlich versuchten Einbrecher zuvor, durch Aufhebeln der in das Haus zu gelangen, was sie jedoch nicht schafften.
Zur Höhe des entstandenen Sachschadens lagen zur Anzeigenaufnahme noch keine Angaben vor. Es wurden Spuren gesichert. Die Kriminalpolizei übernimmt die weiteren Ermittlungen.",https://polizei.brandenburg.de/pressemeldung/versuchter-einbruch-in-ein-einfamilienha/5481404,False,,[],[],[]
Diebstahl aus Restaurant,07.03.2025,"Doberlug-Kirchhain, Elbe-Elster","Die Polizei wurde am Donnerstag zur Mittagszeit in ein Restaurant in der Bahnhofstraße gerufen. Unbekannte waren dort in das Haus eingedrungen und hatten 10 Flaschen Schnaps und einen E-Scooter gestohlen.
Nach dem Roller wird nun international gefahndet, die Kriminalpolizei hat die weiteren Ermittlungen übernommen.",https://polizei.brandenburg.de/pressemeldung/diebstahl-aus-restaurant/5481401,False,,[],[],[]
Nach Kontrolle zur Blutentnahme,07.03.2025,"Koßwig, Oberspreewald-Lausitz","Polizisten stoppten am Freitag gegen 00:45 Uhr einen VW ""Golf"" auf der Landstraße zwischen Koßwig und Reuden. Weil der Atemalkoholtest beim Fahrer einen Wert im Grenzbereich zwischen Ordnungswidrigkeit und Verkehrsstraftat anzeigte, wurde eine beweissichernde Blutentnahme angeordnet.
Im Anschluss untersagten die Beamten dem Mann die Weiterfahrt und beschlagnahmten seinen Führerschein.",https://polizei.brandenburg.de/pressemeldung/nach-kontrolle-zur-blutentnahme/5481394,False,,[],[],[]
Zu jung und ohne Versicherung,07.03.2025,"Lübbenau, Oberspreewald-Lausitz","Polizeibeamten fiel während der Streifenfahrt am Donnerstagnachmittag ein E-Scooter in der Otto-Grotewohl-Straße auf. Das Versicherungskennzeichen war abgelaufen und die Fahrerin mit 12 Jahren eindeutig zu jung, um das Fahrzeug fahren zu dürfen. Die Beamten informierten die Eltern, die Tochter und Roller abholen kamen.
In diesem Zusammenhang ein Hinweis der Polizei:
Seit dem 1. März 2025 müssen alle E-Scooter-, Mofas und Mopeds mit dem neuen grünen Versicherungskennzeichen unterwegs sein, die bisherigen blauen haben ihre Gültigkeit verloren. Die Versicherungspflicht gilt auch für verschiedene E-Bikes. Wer ohne Versicherungsschutz unterwegs ist, macht sich strafbar. Zudem kann das richtig teuer werden, dann haften Sie nämlich selber für alle Schäden, die Sie mit Ihrem Fahrzeug verursachen.",https://polizei.brandenburg.de/pressemeldung/zu-jung-und-ohne-versicherung/5481392,False,,[],[],[]
Fahrzeugdiebstähle,07.03.2025,"Gehren, Schönefeld, Dahme-Spreewald","Zwei Fahrzeugdiebstähle, die der Polizei am Freitagmorgen gemeldet wurden, beschäftigen nun die Kriminalpolizei und lösten Fahndungsmaßnahmen aus. In Gehren war von einem Grundstück in der Grünswalder Straße ein VW-Transporter entwendet worden.
Nahezu zeitgleich wurde aus Schönefeld der Diebstahl eines PKW LEXUS angezeigt, der in einem Parkhaus am Flughafen gestanden hatte. Zeitgleich mit den Anzeigenaufnahmen wurde die internationale Fahndung nach dem VW T5 und dem LEXUS LX570 eingeleitet.",https://polizei.brandenburg.de/pressemeldung/fahrzeugdiebstaehle/5481378,False,,[],[],[]
Einbrecher in Sozialeinrichtung,07.03.2025,"Lübben, Dahme-Spreewald","Einbrecher trieben in der Nacht zum Freitag ihr Unwesen in der Paul-Gerhardt-Straße, wie der Polizei in den Morgenstunden angezeigt wurde. Nach dem gewaltsamen Eindringen in das Gebäude einer Sozialeinrichtung hatten sie es offenbar auf einen Tresor abgesehen, der eine geringe Bargeldmenge enthielt. Was darüber hinaus noch gestohlen wurde, ist nun Gegenstand kriminalpolizeilicher Ermittlungen.
Am Ort des Geschehens sicherten im Verlauf des Vormittages Kriminaltechniker Spuren und Beweismittel. Kurze Zeit später wurde auch der Einbruch in ein Nebengebäude der Kindertagesstätte in der Gartengasse gemeldet, wo aber ersten Aussagen zufolge nichts gestohlen wurde.",https://polizei.brandenburg.de/pressemeldung/einbrecher-in-sozialeinrichtung/5481354,False,,[],[],[]
