Title,Date,Location,Text,URL,SourceFile,RightWingRelated,KeywordMatch,ExtractedDate,ExtractedTime,ExtractedAge,ExtractedGender,ExtractedAction,KeywordExtracted
49-Jährigen in Polizeigewahrsam genommen,04.11.2021,"Cottbus, Cottbus","Ein 49-Jähriger, der Polizei bereits Bekannter, pöbelte am Mittwochnachmittag betrunken in der Freiheitsstraße und dem Brandenburger Platz Passanten voll und zeigte den Hitlergruß.
Er wurde über Nacht in Polizeigewahrsam genommen, um weitere Straftaten zu verhindern.",https://polizei.brandenburg.de/pressemeldung/49-jaehrigen-in-polizeigewahrsam-genomme/2876722,brandenburg_police_results.csv,True,['hitlergruß'],04.11.2021,[],"['49', '49']",[],[],['hitlergruß']
69-Jähriger soll Mädchen umarmt haben,14.09.2020,Brandenburg an der Havel,"Brüsseler Straße; Spielplatz;
13.09.2020, 14:35 Uhr
Die Mutter einer 12-Jährigen meldet der Polizei, dass ihre Tochter von einem Mann angesprochen wurde. Dieser soll das Mädchen auf einer Holzplattform, an einem Spielplatz in den Arm genommen und übers Bein gestreichelt haben. Er soll die Geschädigte weiterhin gefragt haben, ob sie mit ihm mitkommen wolle. Als das Mädchen dann losgegangen ist, soll sie weiterhin von dem unbekannten Mann verfolgt worden sein. Die vom Mädchen verständigte Mutter lief zurück zum Spielplatz und konnte dort den Tatverdächtigen (69) antreffen. Er hatte zwischenzeitlich mit zwei älteren Damen Streit angefangen, als er deren Handtaschen nach seinem angeblich fehlenden Autoschlüssel durchsuchte. Vor Ort konnten die hinzugerufenen Polizisten auf die 12-Jährige, deren Mutter sowie den 69-jährigen Beschuldigten treffen. Der Beschuldigte schien stark alkoholisiert, so dass mit ihm ein Atemalkoholtest durchgeführt wurde. Dieser ergab einen Wert von 2,69 Promille. Der Beschuldigte wurde zur Verhinderung weiterer Straftaten in Gewahrsam genommen und entsprechende Anzeige wegen Verdachts des sexuellen Missbrauchs gegen ihn aufgenommen. Seine Oberbekleidung wurde zur Spurensicherung beschlagnahmt. Nach seiner Ausnüchterung erfolgte die Beschuldigtenvernehmung durch die Kriminalpolizei. Hier gab er an, sich zwar mit dem Mädchen unterhalten zu haben, es jedoch nicht bewusst berührt zu haben. Die Ermittlungen dazu werden weitergeführt.",https://polizei.brandenburg.de/pressemeldung/69-jaehriger-soll-maedchen-umarmt-haben/2167991,brandenburg_police_results.csv,True,['sexuell'],14.09.2020,['14:35'],"['69', '12', '12', '69']","['mädchen', 'mann', 'mädchen', 'mädchen', 'mann', 'mädchen', 'mädchen']",[],['sexuellen']
Abfallbehälter beschmiert,26.09.2023,"Eberswalde, Barnim",Durch bislang unbekannte Tatverdächtige ist ein Mülleimer in der Leibnitzstraße beschmiert worden. Am Morgen des 26. September erhielt die Polizei den Hinweis und stellte vor Ort ein Hakenkreuz in der Größe von etwa 20x30cm fest. Das mit schwarzer Sprühfarbe auf den Papierkorb aufgetragene Symbol wurde zunächst verdeckt und dessen Entfernung veranlasst.,https://polizei.brandenburg.de/pressemeldung/abfallbehaelter-beschmiert/4256624,brandenburg_police_results.csv,True,['hakenkreuz'],26.09.2023,[],[],[],[],['hakenkreuz']
Afghanische Familie beleidigt,09.01.2023,"Cottbus, Cottbus","Einer afghanischen Familie wurde am Sonntagabend aus einem Hausflur in der Bertolt-Brecht-Straße der Kinderwagen gestohlen und in der Nähe des Abstellortes Zettel mit ausländerfeindlichem und beleidigendem Inhalt hinterlassen.
Der kriminalpolizeiliche Staatsschutz hat die Ermittlungen nicht ausschließlich wegen des Diebstahls, sondern darüber hinaus wegen Volksverhetzung aufgenommen.",https://polizei.brandenburg.de/pressemeldung/afghanische-familie-beleidigt/3668148,brandenburg_police_results.csv,True,['volksverhetz'],09.01.2023,[],[],[],['diebstahl'],['volksverhetzung']
Aggressiver Patient,11.04.2023,"Oranienburg, Oberhavel","Zu einer Unterstützung des Rettungsdienstes wurden Polizeibeamte gestern Abend gegen 20.00 Uhr in die Lehnitzstraße gerufen. Hier kümmerten sich Rettungskräfte gerade um einen offensichtlich stark alkoholisierten 74-jährigen Afghanen im Rettungswagen, wobei dieser die Rettungssanitäterin sexuell belästigte. Ein Atemalkoholtest bei dem Mann war aufgrund seiner offenbar starken Alkoholisierung nicht möglich. Da es nach der Untersuchung des 74-Jährigen keinen medizinischen Handlungsbedarf gab, beabsichtigten die Polizeibeamten, den Mann in seine Unterkunft zu bringen. Dagegen sperrte sich der 74-Jährige. Er wurde aggressiv, schrie und weigerte, sich zu bewegen. Er schlug in Richtung der Beamten, die den Schlag jedoch abwehren konnten. Auch im Streifenwagen schlug der Mann um sich und versuchte, die Beamten zu verletzen. Auch dies konnten die Polizisten abwehren. Er wurde an seiner Wohnanschrift übergeben. Die Polizeibeamten nahmen Strafanzeigen wegen sexueller Belästigung und wegen Widerstandes auf.",https://polizei.brandenburg.de/pressemeldung/aggressiver-patient/3851799,brandenburg_police_results.csv,True,['sexuell'],11.04.2023,['20.00'],"['74', '74', '74']","['mann', 'mann', 'mann']",['schlagen'],"['sexueller', 'sexuell']"
Alkoholisiert im Amt,02.07.2021,"Neuruppin, Ostprignitz-Ruppin","Ein 35-jähriger Neuruppiner erschien gestern ohne Termin in der Stadtverwaltung in der Karl-Liebknecht-Straße. Der Mann war alkoholisiert (2,96 Promille) und skandierte den Hitler-Gruß, sodass die Polizei gerufen wurde. Die Beamten nahmen Strafanzeigen auf und sprachen dem Mann einen Platzverweis aus. Da er dem nicht nachkam und sich sperrte, nahmen ihn die Beamten zur Durchsetzung des Platzverweises in Handfesseln in Gewahrsam. Die Kriminalpolizei ermittelt u.a. wegen Verwendens von Kennzeichen verfassungswidriger Organisationen.",https://polizei.brandenburg.de/pressemeldung/alkoholisiert-im-amt/2652349,brandenburg_police_results.csv,True,['verfassungswidrig'],02.07.2021,[],['35'],"['mann', 'mann']",[],['verfassungswidriger']
Alkoholisierter Jugendlicher beleidigt Polizeibeamte und ruft Naziparole,19.07.2021,"Havelsee, Kützkow, Potsdam-Mittelmark","Sonntag, 18. Juli 2021, 00:35 Uhr
Zeugen meldeten in der Nacht zum Sonntag eine Ruhestörung in Kützkow. Als die Beamten vor Ort eintrafen und mit der Verursacherin sprachen, störte ein 17-Jähriger immer wieder die Unterhaltung. Er nutzte die Anwesenheit der Beamten aus, um diese massivst verbal und offenbar mit allem was sein Repertoire herzugeben schien, zu beleidigen. Dazu schlug er mehrfach mit der flachen Hand gegen den Streifenwagen; zu einer Beschädigung kam es hierdurch nicht.
Um weitere Taten zu unterbinden musste der mit über 1,5 Promille stark alkoholisierte Minderjährige kurzzeitig mittels Handfesseln fixiert werden. Nach Klärung seiner Identität wurde er dann von den Beamten zur Übergabe an seine Erziehungsberechtigen zu seiner Wohnanschrift gefahren. Auf dem Weg dorthin wiederholte er die massiven Beleidigungen in unzähliger Anzahl, schimpfte über den Staat rief lautstark eine Naziparole. Wenig später wurde er dann von seiner Mutter in Obhut genommen und aus den polizeilichen Maßnahmen entlassen. Gegen ihn ermittelt nun die Kriminalpolizei wegen Beleidigung und dem Verwenden von Kennzeichen verfassungswidriger Organisationen.",https://polizei.brandenburg.de/pressemeldung/alkoholisierter-jugendlicher-beleidigt-p/2678604,brandenburg_police_results.csv,True,"['nazi', 'verfassungswidrig']",19.07.2021,['00:35'],['17'],['jugendlicher'],['beleidigung'],"['naziparole', 'verfassungswidriger']"
Alkoholisierter Mann schmeißt mit Dachziegeln,10.06.2020,"Havelsee, Pritzerbe, Potsdam-Mittelmark","Ein 36 Jahre alter Mann war am Mittwochmorgen, im alkoholisiertem Zustand auf das Flachdach eines Hauses in Pritzerbe geklettert und hatte dort offenbar wahllos Dachziegel auf die Straße geworfen. Als die Polizei am Ereignisort ankam, orderten die Beamten umgehend Rettungsdienst und Feuerwehr nach, da der offensichtlich leichtfüßig auf dem Dach umhertaumelte. Zunächst suchten die Beamten das Gespräch mit dem Mann, um so auf ihn beruhigend einzuwirken. Dieser ließ sich jedoch nicht beruhigen. Stattdessen grölte er mehrfach verfassungswidrige Parolen. Die Beamten brachten ihn dann aber durch Kommunikation dazu sich zu setzen, und so die Gefahr des unbeabsichtigten Fallens zu mindern. Einsatzkräfte der Feuerwehr haben ihn dann nach Hinzuziehung einer Feuerwehrdrehleiter geborgen. Da eine Eigen- oder Fremdgefährdung zu diesem Zeitpunkt nicht auszuschließen war, verfügte ein Notarzt die zeitweise Unterbringung in einer Brandenburger Fachklinik. Die Kriminalpolizei hat nun Ermittlungen wegen versuchter Körperverletzung und dem Verwenden von Kennzeichen verfassungswidriger Organisationen, gegen den 36-Jährigen eingeleitet.",https://polizei.brandenburg.de/pressemeldung/alkoholisierter-mann-schmeisst-mit-dachz/2009556,brandenburg_police_results.csv,True,['verfassungswidrig'],10.06.2020,[],['36'],"['mann', 'mann', 'mann']",['körperverletzung'],"['verfassungswidriger', 'verfassungswidrige']"
Allerhand Ärger gemacht,15.01.2020,"Eberswalde, Barnim","Bei gleich mehreren Einsätzen forderte ein der Polizei bereits hinlänglich bekannter 60-Jähriger die Geduld der Eberswalder Beamten heraus.
So war der Mann im Laufe des 14.01.2020 erst mit einem Diebstahl in Erscheinung getreten, um dann später an der Haltestelle „Am Markt“ ausländerfeindliche Parolen herumzubrüllen. Polizisten griffen sich den Mann und
er erhielt eine Anzeige wegen Volksverhetzung und Diebstahls. Der zu diesem Zeitpunkt mit 2,32 Promille alkoholisierte Mann kam dem außerdem erteilten Platzverweis dann auch ohne Zögern nach.
Gegen 21.20 Uhr machte der 60-Jährige erneut Ärger. Er randalierte in einer Wohnung in der Schulstraße in Finow. Folglich entschieden sich die Polizisten den Mann in Gewahrsam zu nehmen. Während des Einsatzes beleidigte er die handelnden Beamten wüst, was ihm eine weitere Anzeige einbrachte. Der Tag endete für ihn im Zellentrakt der Polizei.",https://polizei.brandenburg.de/pressemeldung/allerhand-aerger-gemacht/1789965,brandenburg_police_results.csv,True,['volksverhetz'],15.01.2020,['21.20'],"['60', '60']","['mann', 'mann', 'mann', 'mann']","['treten', 'diebstahl']",['volksverhetzung']
Am Geschlechtsteil manipuliert,07.08.2023,"Bernau b. Berlin, Barnim","Am frühen Abend des 04.08.2023 war ein 13-jähriges Mädchen im Stadtpark in der August-Bebel-Straße unterwegs, als ein Mann sich mit heruntergelassener Hose vor ihr aufbaute und an seinem Geschlechtsteil manipulierte. Der 39-Jährige konnte gegriffen werden. Der Beniner wird sich nun wegen sexueller Belästigung zu verantworten haben.",https://polizei.brandenburg.de/pressemeldung/am-geschlechtsteil-manipuliert/4132345,brandenburg_police_results.csv,True,['sexuell'],07.08.2023,[],['39'],"['mädchen', 'mann']",[],['sexueller']
An den Haaren gezogen,09.03.2020,"Hennigsdorf, Oberhavel","Eine 56-jähirige Berlinerin zog gestern gegen 14.00 Uhr einer Passantin am Postplatz plötzlich an den Haaren und beschimpfte deren Begleitung. Zudem soll sie an der dortigen Bushaltestelle mehrfach den Hitler-Gruß skandiert haben. Die hinzugerufenen Polizeibeamten konnten die 56-Jährige im Stadtzentrum feststellen und kontrollieren. Die Frau war in schlechter psychischer Verfassung, so dass ein Rettungswagen gerufen werden musste. Währenddessen beleidigte die Berlinerin auch die Polizeibeamten. Sie wurde zur psychiatrischen Behandlung in ein Krankenhaus eingewiesen. Mehrere Strafanzeigen, u.a. wegen Körperverletzung und Verwenden von Kennzeichen verfassungswidriger Organisationen wurden aufgenommen.",https://polizei.brandenburg.de/pressemeldung/an-den-haaren-gezogen/1863860,brandenburg_police_results.csv,True,['verfassungswidrig'],09.03.2020,['14.00'],['56'],['frau'],['körperverletzung'],['verfassungswidriger']
An Fensterscheiben eines Parteibüros zu schaffen gemacht,05.08.2025,"Seelow, Märkisch-Oderland","Am 04.08.2025 wurde der Polizei gemeldet, dass noch Unbekannte die Fensterscheiben des Büros der Partei „Die Linke“ mit Aufklebern versehen hätten. Diese stammen von einer rechten Kleinstpartei und die darauf zu findenden Schriftzüge richteten sich gegen den Staat Israel. Jetzt ermittelt der Polizeiliche Staatsschutz und prüft dabei, ob der Verdacht der Volksverhetzung gegeben ist.",https://polizei.brandenburg.de/pressemeldung/an-fensterscheiben-eines-parteibueros-zu/5647623,brandenburg_police_results.csv,True,['volksverhetz'],05.08.2025,[],[],[],[],['volksverhetzung']
Angebliche Heizungsableser fordern Geld von einer Frau,01.09.2023,"Drebkau, Spree-Neiße","Zwei bislang unbekannte Männer verschafften sich am Donnerstag unter dem Vorwand, die Heizungszähler ablesen zu wollen, Zugang zu einer Wohnung in der Spremberger Straße. Von der 74-jährige Bewohnerin forderten sie die Herausgabe persönlicher Daten und eine Unterschrift sowie 20 Euro. Einer der beiden öffnete auch Schubladen und suchte offensichtlich nach Wertgegenständen. Erst nach der Zahlung einer geringen Summe Bargeld verließen die beiden Männer die Wohnung. Im Anschluss versuchten sie gleiches in einer benachbarten Wohnung. Hier konnte das Betreten der Wohnung durch die 95-jährige Bewohnerin verhindert werden. Die beiden Tatverdächtigen wurden als 25 bis 30 Jahre alte etwa 180 Zentimeter große Männer mit gebräunter Hautfarbe beschrieben. Beide hatten der Beschreibung nach schwarze, gelockte, etwa längere Haare, die an den Seiten abrasiert sind. Beide trugen Jeanshosen und ein weißes T-Shirt. Die Ermittlungen der Kriminalpolizei dauern an.",https://polizei.brandenburg.de/pressemeldung/angebliche-heizungsableser-fordern-geld-/4193829,brandenburg_police_results.csv,True,['hautfarbe'],01.09.2023,[],"['74', '95']",['frau'],['treten'],['hautfarbe']
Angriff auf Polizeibeamte,15.06.2021,"Schwedt, Uckermark","Durch einen Anrufer wurde der Polizei am 14.06.2021, gegen 14:00 Uhr, bekannt, das zwei junge Männer vor einem Wohnblock im Friedrich- Wolf- Ring strafbare Parolen skandierten und rechtsradikale Musik abspielten. Als die eingesetzten Beamten eintrafen, bestätigte sich die Sachlage. Die beiden 21- jährigen Männer waren alkoholisiert. Bei der Überprüfung des Atemalkoholgehaltes konnten Werte von 1,42 Promille und 1,21 Promille gemessen werden. Einer der beiden jungen Männer begann nun, Passanten anzupöbeln und beleidigte die anwesenden Polizeibeamten. Plötzlich gingen Beide auf einen Polizeibeamten los und versuchten diesen zu schlagen. Nur durch den Einsatz weiterer Kräfte konnten die beiden jungen Männer fixiert werden. Im Anschluss daran wurden sie in den Gewahrsam genommen. Auf dem Weg zu den Einsatzfahrzeugen beschädigten sie zwei Fahrzeuge, die am Straßenrand abgestellt waren. Im Ergebnis dieses Einsatzes sind zwei Polizeibeamte verletzt worden. Die Beamten nahmen Anzeigen wegen Widerstandes gegen Vollstreckungsbeamte, Beleidigung und wegen des Verwendens von Kennzeichen verfassungswidriger Organisationen gegen die Beschuldigten auf, denen darüber hinaus durch einen Arzt eine Blutprobe entnommen wurde.",https://polizei.brandenburg.de/pressemeldung/angriff-auf-polizeibeamte/2621476,brandenburg_police_results.csv,True,['verfassungswidrig'],15.06.2021,['14:00'],[],['junge'],"['angriff', 'schlagen', 'beleidigung']",['verfassungswidriger']
