Date,ExtractedAction,ExtractedAge,ExtractedDate,ExtractedGender,ExtractedTime,KeywordExtracted,KeywordMatch,Location,RightWingRelated,SourceFile,Text,Title,Topic,URL,standardized_location,latitude,longitude,ollama_extraction
09.03.2020,['körperverletzung'],['56'],09.03.2020,['frau'],['14.00'],['verfassungswidriger'],['verfassungswidrig'],"Hennigsdorf, Oberhavel",True,brandenburg_police_results.csv,"Eine 56-jähirige Berlinerin zog gestern gegen 14.00 Uhr einer Passantin am Postplatz plötzlich an den Haaren und beschimpfte deren Begleitung. Zudem soll sie an der dortigen Bushaltestelle mehrfach den Hitler-Gruß skandiert haben. Die hinzugerufenen Polizeibeamten konnten die 56-Jährige im Stadtzentrum feststellen und kontrollieren. Die Frau war in schlechter psychischer Verfassung, so dass ein Rettungswagen gerufen werden musste. Währenddessen beleidigte die Berlinerin auch die Polizeibeamten. Sie wurde zur psychiatrischen Behandlung in ein Krankenhaus eingewiesen. Mehrere Strafanzeigen, u.a. wegen Körperverletzung und Verwenden von Kennzeichen verfassungswidriger Organisationen wurden aufgenommen.",An den Haaren gezogen,RightWing,https://polizei.brandenburg.de/pressemeldung/an-den-haaren-gezogen/1863860,"Postplatz, Hennigsdorf, Oberhavel",52.6374833,13.2045041,"Postplatz, Hennigsdorf, Oberhavel"
15.06.2021,"['angriff', 'schlagen', 'beleidigung']",[],15.06.2021,['junge'],['14:00'],['verfassungswidriger'],['verfassungswidrig'],"Schwedt, Uckermark",True,brandenburg_police_results.csv,"Durch einen Anrufer wurde der Polizei am 14.06.2021, gegen 14:00 Uhr, bekannt, das zwei junge Männer vor einem Wohnblock im Friedrich- Wolf- Ring strafbare Parolen skandierten und rechtsradikale Musik abspielten. Als die eingesetzten Beamten eintrafen, bestätigte sich die Sachlage. Die beiden 21- jährigen Männer waren alkoholisiert. Bei der Überprüfung des Atemalkoholgehaltes konnten Werte von 1,42 Promille und 1,21 Promille gemessen werden. Einer der beiden jungen Männer begann nun, Passanten anzupöbeln und beleidigte die anwesenden Polizeibeamten. Plötzlich gingen Beide auf einen Polizeibeamten los und versuchten diesen zu schlagen. Nur durch den Einsatz weiterer Kräfte konnten die beiden jungen Männer fixiert werden. Im Anschluss daran wurden sie in den Gewahrsam genommen. Auf dem Weg zu den Einsatzfahrzeugen beschädigten sie zwei Fahrzeuge, die am Straßenrand abgestellt waren. Im Ergebnis dieses Einsatzes sind zwei Polizeibeamte verletzt worden. Die Beamten nahmen Anzeigen wegen Widerstandes gegen Vollstreckungsbeamte, Beleidigung und wegen des Verwendens von Kennzeichen verfassungswidriger Organisationen gegen die Beschuldigten auf, denen darüber hinaus durch einen Arzt eine Blutprobe entnommen wurde.",Angriff auf Polizeibeamte,RightWing,https://polizei.brandenburg.de/pressemeldung/angriff-auf-polizeibeamte/2621476,"Friedrich-Wolf-Ring, Schwedt, Uckermark",53.0664803,14.2526751,"Friedrich-Wolf-Ring, Schwedt, Uckermark"
21.05.2021,[],[],21.05.2021,[],[],"['antisemitische', 'antisemitischen']",['antisemitisch'],"Senftenberg, Oberspreewald-Lausitz",True,brandenburg_police_results.csv,"Unbekannte Täter besprühten in den letzten Tagen die Front- und Giebelseite einer Sporthalle in der Schillerstraße mit verschiedenen antisemitischen Schriftzügen in orangener Sprühfarbe auf einer Länge von mehreren Metern.
Die Höhe des Sachschadens ist nicht bekannt. Der kriminalpolizeiliche Staatsschutz hat die Ermittlungen aufgenommen.",Antisemitische Schmierereien,RightWing,https://polizei.brandenburg.de/pressemeldung/antisemitische-schmierereien/2581920,"Schillerstraße, Senftenberg, Oberspreewald-Lausitz",51.5245993,13.9902949,"Schillerstraße, Senftenberg, Oberspreewald-Lausitz"
24.04.2023,[],[],24.04.2023,[],[],"['hakenkreuze', 'verfassungswidriger']","['hakenkreuz', 'verfassungswidrig']","Bernau bei Berlin, Barnim",True,brandenburg_police_results.csv,Nach einem Zeugenhinweis stellten Polizisten in der Schulstraße im Ortsteil Schönow insgesamt sechs Hakenkreuze an einer dort stehenden Tischtennisplatte fest. Die Beamten nahmen eine Anzeige von Amts wegen aufgrund des Verwendens von Kennzeichen verfassungswidriger Organisationen auf.,Anzeige aufgenommen,RightWing,https://polizei.brandenburg.de/pressemeldung/anzeige-aufgenommen-/3878806,"Schulstraße, Schönow, Barnim, Bernau bei Berlin",52.6746422,13.5325989,"Schulstraße, Schönow, Barnim, Bernau bei Berlin"
29.04.2020,[],[],29.04.2020,['mann'],[],"['hakenkreuzes', 'verfassungswidriger']","['hakenkreuz', 'verfassungswidrig']","Frankfurt (Oder), Frankfurt (Oder)",True,brandenburg_police_results.csv,"Da sich mehrere Personen am Dienstagnachmittag in einem Park im Aurorahügel aufhielten und nicht den vorgeschriebenen Abstand einhielten, kamen Polizeibeamte zum Einsatz. Den Aufforderungen der Beamten, den Abstand zu vergrößern, kamen die neun Männer nicht nach. Daraufhin sprachen die Polizisten Platzverweise aus. Während der Personalienfeststellung bemerkten die Beamten eine sichtbare Tätowierung, in Form eines Hakenkreuzes, an der Wade eines 33 Jahre alten Mannes. Da durch die Trageweise kurzer Hosen eine Öffentlichkeitswirksamkeit vorlag, fertigten sie eine Anzeige wegen des Verwendens von Kennzeichen verfassungswidriger Organisationen. Der Mann wurde aufgefordert, die Tätowierung zu bedecken und auf dem kürzesten Weg nach Hause zu gehen.",Anzeige aufgenommen,RightWing,https://polizei.brandenburg.de/pressemeldung/anzeige-aufgenommen/1942452,"Park im Aurorahügel, Frankfurt (Oder)",52.33165,14.5424042,"Park im Aurorahügel, Frankfurt (Oder)"
17.11.2021,[],['25'],17.11.2021,['mann'],['12:30'],['hitlergruß'],['hitlergruß'],"Prenzlau, Uckermark",True,brandenburg_police_results.csv,"Den Hitlergruß soll ein noch unbekannter Mann am 16.11.21 gegen 12:30 Uhr in der Brüssower Allee in Höhe der Brüssower Straße skandiert haben. Aufgrund eines entsprechenden Zeugenhinweises nahmen Polizisten eine Anzeige von Amts wegen auf. Der Tatverdächtige trug nach bisherigen Informationen ein graues Kapuzenshirt, war ca. 1,70 bis 1,75 Meter groß und zirka 20-25 Jahre alt.
Die Kriminalpolizei hat nun die Ermittlungen aufgenommen.",Anzeige aufgenommen,RightWing,https://polizei.brandenburg.de/pressemeldung/anzeige-aufgenommen/2900818,"Brüssower Allee, Prenzlau, Uckermark",53.321895,13.8751577,"Brüssower Allee, Prenzlau, Uckermark"
19.04.2023,[],['22'],19.04.2023,['frau'],['01:30'],['verfassungswidriger'],['verfassungswidrig'],"Eberswalde, Barnim",True,brandenburg_police_results.csv,"Wegen ruhestörenden Lärms sind Polizisten in der Nacht zum 19.04.2023 gegen 01:30 Uhr in die Ringstraße gerufen worden. Vor Ort ergingen Platzverweise, gegen die zum Teil stark alkoholisierten Gäste. Eine Frau hatte sich bei der Feier zuvor eine Schnittwunde zugezogen, die in der Folge im Krankenhaus behandelt wurde. Beim Verlassen des Krankenhauses skandierte die 22-Jährige, die einen Atemalkoholwert von 2,3 Promille vorweisen konnte, strafrechtlich relevante Parolen, die eine Strafanzeige wegen des Verwendens von Kennzeichen verfassungswidriger Organisationen nach sich zog.",Anzeige aufgenommen,RightWing,https://polizei.brandenburg.de/pressemeldung/anzeige-aufgenommen/3868731,"Ringstraße, Eberswalde, Barnim",52.8357128,13.7382515,"Ringstraße, Eberswalde, Barnim"
21.06.2023,[],[],21.06.2023,[],[],['verfassungswidriger'],['verfassungswidrig'],"Frankfurt (Oder), Frankfurt (Oder)",True,brandenburg_police_results.csv,"Eine Hakenkreuzschmiererei in den Abmaßen von ca. 80 x 80 Zentimetern ist am 21.06.2023 in der Puschkinstraße festgestellt und bei der Polizei angezeigt worden. Nachdem Polizisten die Schmiererei mit einem Foto dokumentiert hatten, veranlassten sie deren Beseitigung. Die Kriminalpolizei ermittelt nun wegen des Verwendens von Kennzeichen verfassungswidriger Organisationen.",Anzeige aufgenommen,RightWing,https://polizei.brandenburg.de/pressemeldung/anzeige-aufgenommen/4017601,"Puschkinstraße, Frankfurt (Oder), Frankfurt (Oder)",52.3364599,14.5333286,"Puschkinstraße, Frankfurt (Oder), Frankfurt (Oder)"
26.11.2024,[],[],26.11.2024,[],['15:30'],['antisemitischen'],['antisemitisch'],"Schwedt, Uckermark",True,brandenburg_police_results.csv,Polizisten stellten am 25.11.2024 gegen 15:30 Uhr im Rahmen ihrer Streifetätigkeit einen antisemitischen Schriftzug an einer Mauer im Schulweg fest. Der ca. 70 Zentimeter lange Schriftzug war augenscheinlich mit einem schwarzen Stift aufgebracht worden. Nach der Anzeigenaufnahme und der fotografischen Sicherung ist dessen Beseitigung veranlasst worden.,Anzeige aufgenommen,RightWing,https://polizei.brandenburg.de/pressemeldung/anzeige-aufgenommen/5263902,"Schulweg, Schwedt, Uckermark",53.0644614,14.2876111,"Schulweg, Schwedt, Uckermark"
22.12.2021,[],[],22.12.2021,"['jugendlicher', 'mädchen', 'mädchen']",['19.40'],"['volkverhetzung', 'volksverhetzung']",['volksverhetzung'],"Oranienburg, Oberhavel",True,brandenburg_police_results.csv,"Aus einer Gruppe Jugendlicher heraus wurden gestern gegen 19.40 Uhr vier Mädchen im Alter von 14 und 15 Jahren in der Albert-Buchmann-Straße mit Flaschen beworfen und verbal beleidigt. Dabei wurde auch auf die Hautfarbe zweier Mädchen angespielt. Es wurde eine Strafanzeige wegen Volkverhetzung aufgenommen, die Jugendlichen konnten vor Ort nicht mehr festgestellt werden.",Anzeige wegen Volksverhetzung,RightWing,https://polizei.brandenburg.de/pressemeldung/anzeige-wegen-volksverhetzung-/2965239,"Albert-Buchmann-Straße, Oranienburg, Oberhavel",52.7478126,13.2413073,"Albert-Buchmann-Straße, Oranienburg, Oberhavel"
09.11.2022,['beleidigung'],[],09.11.2022,['mann'],['17'],"['sieg heil', 'verfassungswidriger']","['sieg heil', 'verfassungswidrig']","Zechin, Märkisch-Oderland",True,brandenburg_police_results.csv,"Die Polizei nahm am 8. November in Zechin mehrere Anzeigen gegen einen 28- Jährigen auf, welcher sich unter Alkoholeinfluss in der Schulstraße nicht gesetzeskonform verhielt.
Gegen 17 Uhr traf die Polizei in der Schulstraße ein, weil ein junger Mann einen Anwohner verbal beleidigt hatte. Außerdem demolierte er zwei Fensterscheiben eines Wohnwagens eines weiteren Bewohners der Schulstraße. Die Polizei führte einen Atemalkoholtest durch, dessen Wert bei 2,9 Promille lag. Deshalb wurde ein Rettungswagen angefordert. Von den Rettungssanitätern, die ihn in ein Krankenhaus brachten, verabschiedete sich der 28- Jährige mit: „Sieg Heil!“
Die Polizei nahm Anzeigen wegen Verwendens von Kennzeichen verfassungswidriger Organisationen, wegen Sachbeschädigung und Beleidigung auf.",Anzeigen aufgenommen,RightWing,https://polizei.brandenburg.de/pressemeldung/anzeigen-aufgenommen/3561522,"Schulstraße, Zechin, Märkisch-Oderland",52.6108124,14.4545399,"Schulstraße, Zechin, Märkisch-Oderland"
17.06.2020,[],['30'],17.06.2020,[],['18.30'],"['sieg heil', 'verfassungswidriger']","['sieg heil', 'verfassungswidrig']","Rheinsberg, Ostprignitz-Ruppin",True,brandenburg_police_results.csv,"Acht Männer waren gestern gegen 18.30 Uhr mit zwei Flößen auf dem Tietzowsee nahe Zechlinerhütte unterwegs. Zeugen hatten die Polizei informiert, weil aus der Gruppe heraus offenbar „Sieg Heil“ gerufen wurde. Beamte der Wasserschutzpolizei kontrollierten die Wasserfahrzeuge und die Männer aus Sachsen-Anhalt im Alter von 23 bis 45 Jahren. Der 30-jährige Bootsführer stand unter Einfluss von Alkohol (0,54 Promille). Ein Strafverfahren wegen Trunkenheit im Schiffsverkehr wurde eingeleitet. Zu den Rufen wollte sich keiner der Männer äußern, eine Strafanzeige wegen Verwendens von Kennzeichen verfassungswidriger Organisationen wurde aufgenommen.",Auf Flößen gebrüllt,RightWing,https://polizei.brandenburg.de/pressemeldung/auf-floessen-gebruellt/2021598,"Tietzowsee, Rheinsberg, Ostprignitz-Ruppin",53.1678643,12.8738495,"Tietzowsee, Rheinsberg, Ostprignitz-Ruppin"
10.03.2021,[],[],10.03.2021,['frau'],[],['volksverhetzung'],['volksverhetzung'],"Jamlitz, Dahme-Spreewald",True,brandenburg_police_results.csv,"Die Polizei hat im Rahmen von Ermittlungen drei Tatverdächtige der gemeinschädlichen Sachbeschädigungen an den Stelen der Gedenkstätte in Jamlitz feststellen können. Gegen die Männer im Alter von jeweils 20 Jahren und die Frau im Alter von 18 Jahren wurden Ermittlungsverfahren eingeleitet. Zudem werden Ermittlungen wegen des Verdachtes der Volksverhetzung aufgenommen.
Ausgangsmeldung
vom 09.03.2021 0991 Ermittlungen nach Sachbeschädigung, Jamlitz, (DS):
Die Polizei wurde am späten Montagnachmittag über Sachbeschädigungen in der Gedenkstätte in Jamlitz informiert. Unbekannte hatten Schmierereien und Schriftzüge an mehreren Stelen aufgebracht. Im Zuge erster Ermittlungen wurden zudem weitere Schriftzüge an einer nahegelegenen Bushaltestelle festgestellt. Nach erfolgter Spurensicherung hat nun die Kriminalpolizei weitere Ermittlungen übernommen.",Aufgeklärt,RightWing,https://polizei.brandenburg.de/pressemeldung/aufgeklaert/2462815,"Gedenkstätte, Jamlitz, Dahme-Spreewald",51.9937087,14.3653929,"Gedenkstätte, Jamlitz, Dahme-Spreewald"
04.11.2021,[],[],04.11.2021,[],['16.00'],"['volksverhetzung', 'rechtsextremistischen']","['volksverhetzung', 'rechtsextremistisch']","Pritzwalk, Prignitz",True,brandenburg_police_results.csv,"Eine Zeugin meldete sich gestern gegen 16.00 Uhr bei der Polizei. Die Zeugin erläuterte den Beamten, dass sie an einer Bushaltestelle in der Nordstraße zwei große Aufkleber mit rechtsextremistischen Parolen festgestellt hat. Die Beamten entfernten anschließend die Aufkleber und stellten sie sicher. Die Kriminalpolizei hat die Ermittlungen wegen des Verdachts der Volksverhetzung aufgenommen",Aufkleber mit rechten Parolen,RightWing,https://polizei.brandenburg.de/pressemeldung/aufkleber-mit-rechten-parolen/2877273,"Nordstraße, Pritzwalk, Prignitz",53.1557545,12.1788308,"Nordstraße, Pritzwalk, Prignitz"
23.04.2019,[],[],23.04.2019,[],[],['hakenkreuzen'],['hakenkreuz'],"Welzow, Spree-Neiße",True,brandenburg_police_results.csv,"Unbekannte Personen beschmierten über die Osterfeiertage einen in der Glück-Auf-Straße abgestellten LKW-Auflieger der Marke KOEGEL mit Zahlen, Sprüchen und drei Hakenkreuzen in den Maßen von jeweils zirka 40x40 Zentimetern. Die Polizei leitete Ermittlungen ein, die Schadenshöhe kann noch nicht genau beziffert werden.",Auflieger beschmiert,RightWing,https://polizei.brandenburg.de/pressemeldung/auflieger-beschmiert/1439210,"Glück-Auf-Straße, Welzow, Spree-Neiße",51.5818817,14.1766257,"Glück-Auf-Straße, Welzow, Spree-Neiße"
29.10.2019,"['beleidigung', 'körperverletzung']","['63', '65']",29.10.2019,['mann'],['19.40'],['fremdenfeindliche'],['fremdenfeindlich'],"Neuruppin, Ostprignitz-Ruppin",True,brandenburg_police_results.csv,"Ein 63-jähriger Neuruppiner sah gestern gegen 19.40 Uhr vor einem Wohnhaus in der Ernst-Toller-Straße eine Gruppe von etwa fünf Jugendlichen und jungen Erwachsenen vorbeilaufen, darunter vier Syrer. Daraufhin rief der Mann aus dem Fenster fremdenfeindliche und beleidigende Worte herunter und warf offenbar einen Blitzknaller. Verletzt wurde niemand. Polizeibeamte suchten den alkoholisierten 65-Jährigen in der Wohnung auf. Er räumte die Tat ein, gab aber auch an, dass die Gruppe zuerst gebrüllt hätte. Wegen versuchter gefährlicher Körperverletzung und Beleidigung wurde eine Strafanzeige aufgenommen.",Aus dem Fenster gebrüllt,RightWing,https://polizei.brandenburg.de/pressemeldung/aus-dem-fenster-gebruellt-/1689935,"Ernst-Toller-Straße, Neuruppin, Ostprignitz-Ruppin",52.9284871,12.812664,"Ernst-Toller-Straße, Neuruppin, Ostprignitz-Ruppin"
